Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ID,discuss_1,read_1,age,gender,edu,arg_ID,Arg_Position,Arguments,rater_position,response_ratings
21,1658857930146,26/07/2022 17:52:10,6842664,3,18,Strongly Agree,statements,6,Most weeks,Most days,32,Female,A levels,1,Against,The rate of death from covid-19 is very low and a vaccine isn't needed,Hesitant,7
22,1658857936076,26/07/2022 17:52:16,6842664,3,19,Neither Agree nor Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",2,Against,I am living in a country where the outbreak has been managed well/practically non-existent,Hesitant,4
23,1658857944062,26/07/2022 17:52:24,6842664,3,20,Somewhat Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",1,Against,"If enough people get a vaccine, whether I do or not is inconsequential",Hesitant,5
24,1658857945807,26/07/2022 17:52:25,6842664,3,21,Strongly Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",1,For,better for everyone else,Hesitant,1
25,1658857953167,26/07/2022 17:52:33,6842664,3,22,Neither Agree nor Disagree,statements,1,Most days,Most months,32,Female,A levels,1,For,i was fine are a few days.,Hesitant,4
26,1658857959536,26/07/2022 17:52:39,6842664,3,23,Strongly Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,2,Against,I am unsure about any long-term side effects that might arise from the vaccine in years to come due to how quickly the testing phase was carried out.,Hesitant,7
27,1658857962131,26/07/2022 17:52:42,6842664,3,24,Strongly Disagree,statements,4,Most days,Most weeks,31,Female,GCSEs,3,For,We must have the vaccine in order to return to normality.,Hesitant,1
28,1658857968759,26/07/2022 17:52:48,6842664,3,25,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",1,Against,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,Hesitant,7
29,1658857972474,26/07/2022 17:52:52,6842664,3,26,Neither Agree nor Disagree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,3,For,Im doing my bit to help,Hesitant,4
30,1658857978491,26/07/2022 17:52:58,6842664,3,27,Strongly Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,1,Against,I don't think have taken enough time to test the vaccine properly.,Hesitant,7
31,1658857983013,26/07/2022 17:53:03,6842664,3,28,Strongly Disagree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,2,For,Because I am old and therefore at a higher risk of dying if I caught Covid,Hesitant,1
32,1658857995148,26/07/2022 17:53:15,6842664,3,29,Strongly Disagree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,3,For,It will stop me from getting covid.,Hesitant,1
33,1658857997836,26/07/2022 17:53:17,6842664,3,30,Strongly Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,3,Against,I might be the one who gets the blood clots.,Hesitant,7
34,1658857999619,26/07/2022 17:53:19,6842664,3,31,Strongly Disagree,statements,6,Most weeks,Most days,32,Female,A levels,3,For,To be able to go on holiday,Hesitant,1
35,1658858001777,26/07/2022 17:53:21,6842664,3,32,Strongly Disagree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",2,For,Prevents you from catching the virus or getting severe symptoms.,Hesitant,1
36,1658858005819,26/07/2022 17:53:25,6842664,3,33,Strongly Disagree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,3,For,Because in the end everyone will be forced to have the vaccine if they want to go on holiday or go to certain events,Hesitant,1
37,1658858011642,26/07/2022 17:53:31,6842664,3,34,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",3,Against,"Theories about how the vaccine has been produced, the ingredients of it, seems suspicious and doesn't seem to be effective either.",Hesitant,7
38,1658858015527,26/07/2022 17:53:35,6842664,3,35,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,2,Against,Its not been developed for long enough.,Hesitant,7
39,1658858022395,26/07/2022 17:53:42,6842664,3,36,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",2,Against,Doesn't seem trustworthy as the process to make the vaccine has been rushed in order to keep up with demands from the world to release a vaccine out soon.,Hesitant,7
41,1658858036209,26/07/2022 17:53:56,6842664,3,38,Strongly Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,2,Against,"I would like to see the figures for people who have died within 28 days of having a vaccine, not just the number of deaths after having a positive test",Hesitant,7
42,1658858040113,26/07/2022 17:54:00,6842664,3,39,Strongly Disagree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,3,Against,I am undergoing treatment for cancer,Hesitant,1
43,1658858042161,26/07/2022 17:54:02,6842664,3,40,Strongly Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",2,For,better for travelling abroad,Hesitant,1
44,1658858047972,26/07/2022 17:54:07,6842664,3,41,Strongly Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,1,Against,The risk of dying from Covid is only 0.03% unless you have an underlying health problem.,Hesitant,7
45,1658858049965,26/07/2022 17:54:09,6842664,3,42,Strongly Disagree,statements,5,A few times a year,A few times a year,32,Female,A levels,3,For,I want to be able to fly for holidays this summer.,Hesitant,1
46,1658858056903,26/07/2022 17:54:16,6842664,3,43,Strongly Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,1,Against,I would rather wait to see if there are any negative effect in people who have had the vaccine before I make up my mind,Hesitant,7
47,1658858068462,26/07/2022 17:54:28,6842664,3,44,Strongly Disagree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",1,For,Protects you against the virus so that you have immunity against it,Hesitant,1
48,1658858070713,26/07/2022 17:54:30,6842664,3,45,Strongly Disagree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,1,For,It's safe the government said so.,Hesitant,1
49,1658858070844,26/07/2022 17:54:30,6842664,3,46,Strongly Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",3,Against,I get tested all the time and can afford to self-isolate,Hesitant,1
50,1658858079667,26/07/2022 17:54:39,6842664,3,47,Neither Agree nor Disagree,statements,6,Most weeks,Most days,32,Female,A levels,1,For,I want to get my freedoms back,Hesitant,4
51,1658858081519,26/07/2022 17:54:41,6842664,3,48,Strongly Agree,statements,1,Most days,Most months,32,Female,A levels,1,Against,"the vaccine has side effects.

",Hesitant,7
52,1658858084659,26/07/2022 17:54:44,6842664,3,49,Strongly Disagree,statements,6,Most weeks,Most days,32,Female,A levels,2,For,Everyone has to have one so life can go back to normal,Hesitant,1
53,1658858089761,26/07/2022 17:54:49,6842664,3,50,Strongly Disagree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,2,Against,Im not mixing with other people,Hesitant,1
54,1658858091683,26/07/2022 17:54:51,6842664,3,51,Strongly Disagree,statements,1,Most days,Most months,32,Female,A levels,3,For,it will help you protect yourself.,Hesitant,1
55,1658858095613,26/07/2022 17:54:55,6842664,3,52,Somewhat Disagree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,2,Against,I've never had a vaccine and never will,Hesitant,3
56,1658858100435,26/07/2022 17:55:00,6842664,3,53,Disagree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,2,For,The news said its effective,Hesitant,2
57,1658858105535,26/07/2022 17:55:05,6842664,3,54,Strongly Disagree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,2,For,It has been thoroughly tested,Hesitant,1
58,1658858108606,26/07/2022 17:55:08,6842664,3,55,Strongly Disagree,statements,4,Most days,Most weeks,31,Female,GCSEs,1,For,The vaccine is perfectly safe and better versions have already been produced.,Hesitant,1
59,1658858115126,26/07/2022 17:55:15,6842664,3,56,Strongly Agree,statements,6,Most weeks,Most days,32,Female,A levels,3,Against,It is a new technology that was considered unethical before thats why it was never passed,Hesitant,7
60,1658858117458,26/07/2022 17:55:17,6842664,3,57,Strongly Agree,statements,1,Most days,Most months,32,Female,A levels,3,Against,it's still in its trial stages.,Hesitant,7
61,1658858121710,26/07/2022 17:55:21,6842664,3,58,Strongly Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,1,Against,I don't know what's in it,Hesitant,7
62,1658858127162,26/07/2022 17:55:27,6842664,3,59,Neither Agree nor Disagree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,2,For,Only a few people have died from it.,Hesitant,4
63,1658858132075,26/07/2022 17:55:32,6842664,3,60,Neither Agree nor Disagree,statements,1,Most days,Most months,32,Female,A levels,2,Against,if you were to have covid you would have already.,Hesitant,4
64,1658858134517,26/07/2022 17:55:34,6842664,3,61,Neither Agree nor Disagree,statements,5,A few times a year,A few times a year,32,Female,A levels,2,For,Everyone else is getting vaccinated.,Hesitant,4
65,1658858135913,26/07/2022 17:55:35,6842664,3,62,Strongly Disagree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,1,For,The government said it safe,Hesitant,1
3,1658859877764,26/07/2022 18:24:37,6842894,3,1,Somewhat Disagree,statements,1,Most days,Most months,32,Female,A levels,1,For,i was fine are a few days.,Hesitant,3
4,1658859886374,26/07/2022 18:24:46,6842894,3,2,Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,1,Against,It hasnt been tested for long enough,Hesitant,6
5,1658859894959,26/07/2022 18:24:54,6842894,3,3,Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,1,Against,I don't think have taken enough time to test the vaccine properly.,Hesitant,6
6,1658859899282,26/07/2022 18:24:59,6842894,3,4,Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,3,Against,Im unsure of the long term affects,Hesitant,6
7,1658859903425,26/07/2022 18:25:03,6842894,3,5,Agree,statements,6,Most weeks,Most days,32,Female,A levels,2,Against,The vaccine hasn't been tested for long enough to ensure its safety and effectiveness,Hesitant,6
8,1658859907800,26/07/2022 18:25:07,6842894,3,6,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,3,Against,It will have serious consequences on peoples health.,Hesitant,7
9,1658859912052,26/07/2022 18:25:12,6842894,3,7,Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",2,For,better for travelling abroad,Hesitant,6
10,1658859916338,26/07/2022 18:25:16,6842894,3,8,Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",1,For,better for everyone else,Hesitant,2
11,1658859926079,26/07/2022 18:25:26,6842894,3,9,Somewhat Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,1,For,To protect me from becoming seriously ill if I caught Covid,Hesitant,5
12,1658859937848,26/07/2022 18:25:37,6842894,3,10,Somewhat Agree,statements,1,Most days,Most months,32,Female,A levels,2,Against,if you were to have covid you would have already.,Hesitant,5
13,1658859942932,26/07/2022 18:25:42,6842894,3,11,Disagree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,1,For,The government said it safe,Hesitant,2
14,1658859951476,26/07/2022 18:25:51,6842894,3,12,Disagree,statements,6,Most weeks,Most days,32,Female,A levels,2,For,Everyone has to have one so life can go back to normal,Hesitant,2
15,1658859958369,26/07/2022 18:25:58,6842894,3,13,Disagree,statements,4,Most days,Most weeks,31,Female,GCSEs,1,For,The vaccine is perfectly safe and better versions have already been produced.,Hesitant,2
16,1658859972965,26/07/2022 18:26:12,6842894,3,14,Strongly Disagree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,3,For,Because in the end everyone will be forced to have the vaccine if they want to go on holiday or go to certain events,Hesitant,1
17,1658859980626,26/07/2022 18:26:20,6842894,3,15,Somewhat Disagree,statements,5,A few times a year,A few times a year,32,Female,A levels,3,For,I want to be able to fly for holidays this summer.,Hesitant,3
18,1658859992365,26/07/2022 18:26:32,6842894,3,16,Neither Agree nor Disagree,statements,1,Most days,Most months,32,Female,A levels,2,For,there are a load of people receiving the vaccine it's safe.,Hesitant,4
19,1658860002210,26/07/2022 18:26:42,6842894,3,17,Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,2,Against,I am unsure about any long-term side effects that might arise from the vaccine in years to come due to how quickly the testing phase was carried out.,Hesitant,6
20,1658860009605,26/07/2022 18:26:49,6842894,3,18,Somewhat Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",3,Against,"Theories about how the vaccine has been produced, the ingredients of it, seems suspicious and doesn't seem to be effective either.",Hesitant,5
22,1658860030601,26/07/2022 18:27:10,6842894,3,20,Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,3,Against,The vaccine was man made,Hesitant,6
23,1658860038281,26/07/2022 18:27:18,6842894,3,21,Strongly Disagree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,3,For,It will stop me from getting covid.,Hesitant,1
24,1658860043188,26/07/2022 18:27:23,6842894,3,22,Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,1,For,The more people who get vaccinated the sooner the restrictions will be lifted.,Hesitant,6
25,1658860048116,26/07/2022 18:27:28,6842894,3,23,Strongly Disagree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,3,Against,I am undergoing treatment for cancer,Hesitant,1
26,1658860052089,26/07/2022 18:27:32,6842894,3,24,Strongly Disagree,statements,4,Most days,Most weeks,31,Female,GCSEs,3,For,We must have the vaccine in order to return to normality.,Hesitant,1
27,1658860057228,26/07/2022 18:27:37,6842894,3,25,Disagree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,2,For,It has been thoroughly tested,Hesitant,2
28,1658860060680,26/07/2022 18:27:40,6842894,3,26,Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,2,Against,I've never had a vaccine and never will,Hesitant,6
29,1658860072009,26/07/2022 18:27:52,6842894,3,27,Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",3,For,the long term benefits outweigh the temporary side-effects,Hesitant,2
31,1658860086422,26/07/2022 18:28:06,6842894,3,29,Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,1,Against,I would rather wait to see if there are any negative effect in people who have had the vaccine before I make up my mind,Hesitant,6
32,1658860093325,26/07/2022 18:28:13,6842894,3,30,Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",3,Against,I get tested all the time and can afford to self-isolate,Hesitant,2
33,1658860097454,26/07/2022 18:28:17,6842894,3,31,Disagree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,2,For,Only a few people have died from it.,Hesitant,2
34,1658860105758,26/07/2022 18:28:25,6842894,3,32,Agree,statements,1,Most days,Most months,32,Female,A levels,3,Against,it's still in its trial stages.,Hesitant,6
35,1658860109035,26/07/2022 18:28:29,6842894,3,33,Strongly Agree,statements,1,Most days,Most months,32,Female,A levels,1,Against,"the vaccine has side effects.

",Hesitant,7
36,1658860114850,26/07/2022 18:28:34,6842894,3,34,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",1,Against,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,Hesitant,7
37,1658860121593,26/07/2022 18:28:41,6842894,3,35,Disagree,statements,5,A few times a year,A few times a year,32,Female,A levels,3,Against,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,Hesitant,2
38,1658860129098,26/07/2022 18:28:49,6842894,3,36,Agree,statements,6,Most weeks,Most days,32,Female,A levels,3,For,To be able to go on holiday,Hesitant,6
39,1658860142199,26/07/2022 18:29:02,6842894,3,37,Somewhat Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,2,For,The news said its effective,Hesitant,5
40,1658860146797,26/07/2022 18:29:06,6842894,3,38,Disagree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,1,For,It's safe the government said so.,Hesitant,2
41,1658860148878,26/07/2022 18:29:08,6842894,3,39,Disagree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,3,For,It protects everyone,Hesitant,2
42,1658860154053,26/07/2022 18:29:14,6842894,3,40,Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,2,For,Because I am old and therefore at a higher risk of dying if I caught Covid,Hesitant,6
43,1658860157123,26/07/2022 18:29:17,6842894,3,41,Strongly Agree,statements,6,Most weeks,Most days,32,Female,A levels,1,For,I want to get my freedoms back,Hesitant,7
44,1658860160958,26/07/2022 18:29:20,6842894,3,42,Disagree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,1,For,Its the only way to stop the spread of the virus,Hesitant,2
45,1658860165175,26/07/2022 18:29:25,6842894,3,43,Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,3,For,Im doing my bit to help,Hesitant,6
46,1658860180536,26/07/2022 18:29:40,6842894,3,44,Somewhat Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,1,Against,The risk of dying from Covid is only 0.03% unless you have an underlying health problem.,Hesitant,5
47,1658860184511,26/07/2022 18:29:44,6842894,3,45,Somewhat Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,2,Against,Its not been developed for long enough.,Hesitant,5
48,1658860191796,26/07/2022 18:29:51,6842894,3,46,Somewhat Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,2,For,It is important to receive the vaccine to protect your health and the health of others.,Hesitant,5
49,1658860197918,26/07/2022 18:29:57,6842894,3,47,Neither Agree nor Disagree,statements,4,Most days,Most weeks,31,Female,GCSEs,1,Against,The vaccine is not safe to receive.,Hesitant,4
50,1658860209679,26/07/2022 18:30:09,6842894,3,48,Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,2,Against,"I would like to see the figures for people who have died within 28 days of having a vaccine, not just the number of deaths after having a positive test",Hesitant,6
51,1658860216604,26/07/2022 18:30:16,6842894,3,49,Disagree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",3,For,Protects others around you from catching the virus?,Hesitant,2
52,1658860219648,26/07/2022 18:30:19,6842894,3,50,Disagree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",2,For,Prevents you from catching the virus or getting severe symptoms.,Hesitant,2
53,1658860224597,26/07/2022 18:30:24,6842894,3,51,Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,2,Against,I believe one of the vaccine companies is been taken to court in the USA because of people getting cancer from one it's other products.,Hesitant,6
54,1658860230879,26/07/2022 18:30:30,6842894,3,52,Neither Agree nor Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",2,Against,I am living in a country where the outbreak has been managed well/practically non-existent,Hesitant,4
55,1658860235015,26/07/2022 18:30:35,6842894,3,53,Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,1,Against,I don't know what's in it,Hesitant,6
56,1658860240819,26/07/2022 18:30:40,6842894,3,54,Somewhat Disagree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,2,Against,Im not mixing with other people,Hesitant,3
57,1658860252216,26/07/2022 18:30:52,6842894,3,55,Disagree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",1,For,Protects you against the virus so that you have immunity against it,Hesitant,2
58,1658860254360,26/07/2022 18:30:54,6842894,3,56,Disagree,statements,5,A few times a year,A few times a year,32,Female,A levels,2,For,Everyone else is getting vaccinated.,Hesitant,2
59,1658860263415,26/07/2022 18:31:03,6842894,3,57,Disagree,statements,6,Most weeks,Most days,32,Female,A levels,1,Against,The rate of death from covid-19 is very low and a vaccine isn't needed,Hesitant,2
60,1658860271930,26/07/2022 18:31:11,6842894,3,58,Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,3,Against,I might be the one who gets the blood clots.,Hesitant,6
61,1658860279278,26/07/2022 18:31:19,6842894,3,59,Agree,statements,6,Most weeks,Most days,32,Female,A levels,3,Against,It is a new technology that was considered unethical before thats why it was never passed,Hesitant,6
62,1658860285518,26/07/2022 18:31:25,6842894,3,60,Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",2,Against,Doesn't seem trustworthy as the process to make the vaccine has been rushed in order to keep up with demands from the world to release a vaccine out soon.,Hesitant,6
63,1658860294434,26/07/2022 18:31:34,6842894,3,61,Somewhat Agree,statements,1,Most days,Most months,32,Female,A levels,3,For,it will help you protect yourself.,Hesitant,5
64,1658860302920,26/07/2022 18:31:42,6842894,3,62,Neither Agree nor Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",1,Against,"If enough people get a vaccine, whether I do or not is inconsequential",Hesitant,4
3,1658861310935,26/07/2022 18:48:30,6843053,3,1,Strongly Disagree,statements,6,Most weeks,Most days,32,Female,A levels,2,For,Everyone has to have one so life can go back to normal,Hesitant,1
4,1658861313850,26/07/2022 18:48:33,6843053,3,2,Somewhat Disagree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,2,For,It has been thoroughly tested,Hesitant,3
5,1658861317861,26/07/2022 18:48:37,6843053,3,3,Strongly Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,3,Against,I might be the one who gets the blood clots.,Hesitant,7
6,1658861321034,26/07/2022 18:48:41,6843053,3,4,Disagree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,1,For,Its the only way to stop the spread of the virus,Hesitant,2
7,1658861325703,26/07/2022 18:48:45,6843053,3,5,Somewhat Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",2,Against,Doesn't seem trustworthy as the process to make the vaccine has been rushed in order to keep up with demands from the world to release a vaccine out soon.,Hesitant,5
8,1658861327259,26/07/2022 18:48:47,6843053,3,6,Somewhat Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",1,Against,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,Hesitant,5
9,1658861332232,26/07/2022 18:48:52,6843053,3,7,Neither Agree nor Disagree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,1,For,The government said it safe,Hesitant,4
10,1658861335343,26/07/2022 18:48:55,6843053,3,8,Strongly Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,1,Against,I don't know what's in it,Hesitant,7
11,1658861345479,26/07/2022 18:49:05,6843053,3,9,Somewhat Disagree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,2,For,Because I am old and therefore at a higher risk of dying if I caught Covid,Hesitant,3
12,1658861349984,26/07/2022 18:49:09,6843053,3,10,Neither Agree nor Disagree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,3,Against,I am undergoing treatment for cancer,Hesitant,4
13,1658861353720,26/07/2022 18:49:13,6843053,3,11,Strongly Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",1,For,better for everyone else,Hesitant,7
14,1658861360104,26/07/2022 18:49:20,6843053,3,12,Somewhat Disagree,statements,1,Most days,Most months,32,Female,A levels,2,For,there are a load of people receiving the vaccine it's safe.,Hesitant,3
15,1658861362631,26/07/2022 18:49:22,6843053,3,13,Strongly Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,3,For,Im doing my bit to help,Hesitant,7
16,1658861369325,26/07/2022 18:49:29,6843053,3,14,Somewhat Disagree,statements,6,Most weeks,Most days,32,Female,A levels,1,For,I want to get my freedoms back,Hesitant,3
17,1658861374114,26/07/2022 18:49:34,6843053,3,15,Strongly Disagree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,3,For,Because in the end everyone will be forced to have the vaccine if they want to go on holiday or go to certain events,Hesitant,1
18,1658861383157,26/07/2022 18:49:43,6843053,3,16,Disagree,statements,1,Most days,Most months,32,Female,A levels,2,Against,if you were to have covid you would have already.,Hesitant,2
19,1658861387348,26/07/2022 18:49:47,6843053,3,17,Neither Agree nor Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",1,Against,"If enough people get a vaccine, whether I do or not is inconsequential",Hesitant,4
20,1658861390795,26/07/2022 18:49:50,6843053,3,18,Somewhat Disagree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",1,For,Protects you against the virus so that you have immunity against it,Hesitant,3
21,1658861394999,26/07/2022 18:49:54,6843053,3,19,Strongly Disagree,statements,5,A few times a year,A few times a year,32,Female,A levels,3,Against,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,Hesitant,1
