Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ID,discuss_1,read_1,age,gender,edu,arg_ID,Arg_Position,Arguments,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,rater_position,response_ratings
21,1647021926292,11/03/2022 18:05:26,6024356,2,19,Somewhat Disagree,statements,48,Never,Once or twice a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",3,Against,poor absorption of nutrients,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,3
22,1647021931369,11/03/2022 18:05:31,6024356,2,20,Neither Agree nor Disagree,statements,42,Rarely,Once or twice a year,21,Male,"Undergraduate degree (BSc, BA)",2,Against,I don't have any kind of allergy to meat and/or dairy.,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Vegan,4
23,1647021936669,11/03/2022 18:05:36,6024356,2,21,Agree,statements,43,Rarely,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",3,For,I care about global warming,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,6
24,1647021940403,11/03/2022 18:05:40,6024356,2,22,Disagree,statements,46,Most months,Most months,21,Male,A levels,3,Against,I believe that a strictly plant based diet would deprave me of much needed nutrients.,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,2
25,1647021941795,11/03/2022 18:05:41,6024356,2,23,Strongly Agree,statements,49,A few times a year,Rarely,NA,Male,"No formal qualifications,A levels",3,For,concerns about animal welfare,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Strongly Disagree,NA,NA,NA,Vegan,7
26,1647021943551,11/03/2022 18:05:43,6024356,2,24,Strongly Disagree,statements,41,Rarely,Once or twice a year,24,Female,"Undergraduate degree (BSc, BA)",1,Against,Is difficult change the diet,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
28,1647021949132,11/03/2022 18:05:49,6024356,2,26,Agree,statements,47,Rarely,Rarely,NA,Female,No formal qualifications,3,For,I consider it to be a healthier and more balanced diet,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,6
29,1647021951907,11/03/2022 18:05:51,6024356,2,27,Strongly Disagree,statements,44,Once or twice a year,Rarely,22,Female,"Undergraduate degree (BSc, BA)",2,Against,you cant easily buy food on go,Somewhat Agree,NA,Disagree,Somewhat Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
30,1647021958560,11/03/2022 18:05:58,6024356,2,28,Somewhat Agree,statements,46,Most months,Most months,21,Male,A levels,1,For,It is beneficial for our ecosystem.,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,5
31,1647021962760,11/03/2022 18:06:02,6024356,2,29,Disagree,statements,49,A few times a year,Rarely,NA,Male,"No formal qualifications,A levels",2,Against,nutritional deficiencies,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Strongly Disagree,NA,NA,NA,Vegan,2
32,1647021964636,11/03/2022 18:06:04,6024356,2,30,Strongly Disagree,statements,48,Never,Once or twice a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,It is an excess of fiber for the body,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
33,1647021967411,11/03/2022 18:06:07,6024356,2,31,Neither Agree nor Disagree,statements,49,A few times a year,Rarely,NA,Male,"No formal qualifications,A levels",1,For,Religious convictions,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Strongly Disagree,NA,NA,NA,Vegan,4
34,1647021970732,11/03/2022 18:06:10,6024356,2,32,Agree,statements,41,Rarely,Once or twice a year,24,Female,"Undergraduate degree (BSc, BA)",3,For,You reduce the emission of CO2,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,6
35,1647021976224,11/03/2022 18:06:16,6024356,2,33,Agree,statements,48,Never,Once or twice a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,is one of the best things you can do to help end animal cruelty,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,6
36,1647021980549,11/03/2022 18:06:20,6024356,2,34,Strongly Agree,statements,45,Most weeks,Most months,22,Male,"Postgraduate degree (MSc, MA, MPhil)",1,For,"""I'm agaisnt animal suffering, I feel like no living being should have a manipulated and painfull life just because we want food.",Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,7
37,1647021984096,11/03/2022 18:06:24,6024356,2,35,Agree,statements,50,A few times a year,A few times a year,19,Male,No formal qualifications,3,For,"Reduces negative impact of meat industry on environment
",Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,6
38,1647021990220,11/03/2022 18:06:30,6024356,2,36,Neither Agree nor Disagree,statements,42,Rarely,Once or twice a year,21,Male,"Undergraduate degree (BSc, BA)",1,Against,Their religion has nothing against eating meat.,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Vegan,4
39,1647021993660,11/03/2022 18:06:33,6024356,2,37,Somewhat Agree,statements,46,Most months,Most months,21,Male,A levels,2,For,It's good for our bodies because we often struggle with digesting meat.,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,5
40,1647021997563,11/03/2022 18:06:37,6024356,2,38,Agree,statements,48,Never,Once or twice a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,The production of meat and its by-products has a very large weight on our planet. Huge amounts of water and grain are required to feed the animals.,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,6
41,1647021999127,11/03/2022 18:06:39,6024356,2,39,Strongly Disagree,statements,41,Rarely,Once or twice a year,24,Female,"Undergraduate degree (BSc, BA)",2,Against,I like meat so much,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
42,1647022001124,11/03/2022 18:06:41,6024356,2,40,Strongly Disagree,statements,46,Most months,Most months,21,Male,A levels,1,Against,Most of my favourite dishes are made of meat and I like its taste.,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
43,1647022003703,11/03/2022 18:06:43,6024356,2,41,Disagree,statements,48,Never,Once or twice a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Against,plant-based protein is less bioavailable than animal protein.,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,2
44,1647022005538,11/03/2022 18:06:45,6024356,2,42,Strongly Agree,statements,44,Once or twice a year,Rarely,22,Female,"Undergraduate degree (BSc, BA)",1,For,to help animals and prevent suffering,Somewhat Agree,NA,Disagree,Somewhat Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,7
45,1647022007992,11/03/2022 18:06:47,6024356,2,43,Strongly Agree,statements,44,Once or twice a year,Rarely,22,Female,"Undergraduate degree (BSc, BA)",3,For,to help environment,Somewhat Agree,NA,Disagree,Somewhat Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,7
46,1647022009991,11/03/2022 18:06:49,6024356,2,44,Strongly Agree,statements,43,Rarely,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",2,For,I believe that animals are equal to humans and should be treated as such,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,7
47,1647022012587,11/03/2022 18:06:52,6024356,2,45,Strongly Disagree,statements,46,Most months,Most months,21,Male,A levels,2,Against,"It's how I was brought up, everybody in my household ate meat.",Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
48,1647022013677,11/03/2022 18:06:53,6024356,2,46,Strongly Disagree,statements,43,Rarely,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",2,Against,I like the taste of meat,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
49,1647022015228,11/03/2022 18:06:55,6024356,2,47,Strongly Disagree,statements,45,Most weeks,Most months,22,Male,"Postgraduate degree (MSc, MA, MPhil)",2,Against,This vegan trend is something that will go away.,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
50,1647022019676,11/03/2022 18:06:59,6024356,2,48,Disagree,statements,48,Never,Once or twice a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,"can increase your energy level, make your skin look younger and improve your digestion",Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,2
51,1647022021260,11/03/2022 18:07:01,6024356,2,49,Strongly Agree,statements,42,Rarely,Once or twice a year,21,Male,"Undergraduate degree (BSc, BA)",3,For,One way to stop animal cruelty.,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Vegan,7
52,1647022023340,11/03/2022 18:07:03,6024356,2,50,Neither Agree nor Disagree,statements,41,Rarely,Once or twice a year,24,Female,"Undergraduate degree (BSc, BA)",3,Against,I don't know what a vegan diet is,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,4
53,1647022025766,11/03/2022 18:07:05,6024356,2,51,Strongly Agree,statements,47,Rarely,Rarely,NA,Female,No formal qualifications,2,For,I'm happy because I don't eat animal-derived food,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,7
54,1647022028926,11/03/2022 18:07:08,6024356,2,52,Agree,statements,49,A few times a year,Rarely,NA,Male,"No formal qualifications,A levels",2,For,health related concerns,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Strongly Disagree,NA,NA,NA,Vegan,6
55,1647022033622,11/03/2022 18:07:13,6024356,2,53,Agree,statements,49,A few times a year,Rarely,NA,Male,"No formal qualifications,A levels",1,Against,convenience and availability,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Strongly Disagree,NA,NA,NA,Vegan,6
56,1647022038594,11/03/2022 18:07:18,6024356,2,54,Strongly Agree,statements,42,Rarely,Once or twice a year,21,Male,"Undergraduate degree (BSc, BA)",2,For,Having an allergy to any kind of meat and/or dairy.,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Vegan,7
57,1647022040161,11/03/2022 18:07:20,6024356,2,55,Strongly Disagree,statements,43,Rarely,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",1,Against,It is too big of a change in diet,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
58,1647022043306,11/03/2022 18:07:23,6024356,2,56,Somewhat Agree,statements,50,A few times a year,A few times a year,19,Male,No formal qualifications,2,For,Say it is healthier to be vegan,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,5
59,1647022048089,11/03/2022 18:07:28,6024356,2,57,Agree,statements,45,Most weeks,Most months,22,Male,"Postgraduate degree (MSc, MA, MPhil)",2,For,"It's much more environmental friendly, reducing current meat consumption and changing today's diet habits would not only decrease CO2 emission but would reduce freshwater consumption.",Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,6
60,1647022050164,11/03/2022 18:07:30,6024356,2,58,Strongly Agree,statements,42,Rarely,Once or twice a year,21,Male,"Undergraduate degree (BSc, BA)",1,For,I don't eat meat because of religious views.,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Vegan,7
61,1647022053228,11/03/2022 18:07:33,6024356,2,59,Strongly Disagree,statements,49,A few times a year,Rarely,NA,Male,"No formal qualifications,A levels",3,Against,concerns about preferred taste,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
62,1647022054858,11/03/2022 18:07:34,6024356,2,60,Strongly Agree,statements,43,Rarely,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",1,For,I am against animal cruelty,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,7
63,1647022057244,11/03/2022 18:07:37,6024356,2,61,Agree,statements,47,Rarely,Rarely,NA,Female,No formal qualifications,3,Against,My food is the healthiest,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,6
4,1647023224651,11/03/2022 18:27:04,6024653,2,1,Strongly Disagree,statements,41,Rarely,Once or twice a year,24,Female,"Undergraduate degree (BSc, BA)",2,Against,I like meat so much,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
5,1647023227751,11/03/2022 18:27:07,6024653,2,2,Strongly Disagree,statements,43,Rarely,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",3,Against,"I believe that only pets (cats,dogs...) should be considered equal to humans.",Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
6,1647023229927,11/03/2022 18:27:09,6024653,2,3,Strongly Disagree,statements,49,A few times a year,Rarely,NA,Male,"No formal qualifications,A levels",3,Against,concerns about preferred taste,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
7,1647023232513,11/03/2022 18:27:12,6024653,2,4,Somewhat Disagree,statements,41,Rarely,Once or twice a year,24,Female,"Undergraduate degree (BSc, BA)",1,Against,Is difficult change the diet,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,3
8,1647023238246,11/03/2022 18:27:18,6024653,2,5,Disagree,statements,45,Most weeks,Most months,22,Male,"Postgraduate degree (MSc, MA, MPhil)",1,Against,"I like meat, I won't stop eating it just because people tell me to.",Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,2
9,1647023239420,11/03/2022 18:27:19,6024653,2,6,Strongly Disagree,statements,44,Once or twice a year,Rarely,22,Female,"Undergraduate degree (BSc, BA)",1,Against,you will become protein and b12 deficient,Somewhat Agree,NA,Disagree,Somewhat Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
10,1647023244847,11/03/2022 18:27:24,6024653,2,7,Neither Agree nor Disagree,statements,41,Rarely,Once or twice a year,24,Female,"Undergraduate degree (BSc, BA)",3,For,You reduce the emission of CO2,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,4
11,1647023248646,11/03/2022 18:27:28,6024653,2,8,Agree,statements,47,Rarely,Rarely,NA,Female,No formal qualifications,2,Against,We shouldn't find it strange who's vegan,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,6
13,1647023254655,11/03/2022 18:27:34,6024653,2,9,Somewhat Agree,statements,47,Rarely,Rarely,NA,Female,No formal qualifications,3,Against,My food is the healthiest,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,5
14,1647023257776,11/03/2022 18:27:37,6024653,2,10,Somewhat Agree,statements,44,Once or twice a year,Rarely,22,Female,"Undergraduate degree (BSc, BA)",3,Against,"veganism is an ethical ideology, not a diet",Somewhat Agree,NA,Disagree,Somewhat Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,5
15,1647023259028,11/03/2022 18:27:39,6024653,2,11,Somewhat Agree,statements,49,A few times a year,Rarely,NA,Male,"No formal qualifications,A levels",2,For,health related concerns,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Strongly Disagree,NA,NA,NA,Vegan,5
16,1647023262333,11/03/2022 18:27:42,6024653,2,12,Agree,statements,48,Never,Once or twice a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,The production of meat and its by-products has a very large weight on our planet. Huge amounts of water and grain are required to feed the animals.,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,6
17,1647023264569,11/03/2022 18:27:44,6024653,2,13,Agree,statements,42,Rarely,Once or twice a year,21,Male,"Undergraduate degree (BSc, BA)",2,For,Having an allergy to any kind of meat and/or dairy.,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Vegan,6
18,1647023266106,11/03/2022 18:27:46,6024653,2,14,Agree,statements,42,Rarely,Once or twice a year,21,Male,"Undergraduate degree (BSc, BA)",1,For,I don't eat meat because of religious views.,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Vegan,6
19,1647023268801,11/03/2022 18:27:48,6024653,2,15,Disagree,statements,48,Never,Once or twice a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,It is an excess of fiber for the body,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,2
