Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ID,discuss_1,read_1,age,gender,edu,arg_ID,Arg_Position,Arguments,rater_position,response_ratings,position_conf,position_conf_num
41,1659960000000,08/08/2022 11:07,6893770,2,39,Strongly Agree,statements,3,Rarely,A few times a year,55,Female,A levels,2,Against,Future side effects are unknown,Hesitant,7,NA,NA
42,1659960000000,08/08/2022 11:07,6893770,2,40,Disagree,statements,8,Most months,Most months,20,Male,A levels,1,Against,The government is trying to microchip me,Hesitant,2,NA,NA
43,1659960000000,08/08/2022 11:07,6893770,2,41,Disagree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",2,For,I want to protect my family and be able to see them again,Hesitant,2,NA,NA
44,1659960000000,08/08/2022 11:07,6893770,2,42,Strongly Agree,statements,3,Rarely,A few times a year,55,Female,A levels,1,Against,Hasn't been tested for long enough,Hesitant,7,NA,NA
45,1659960000000,08/08/2022 11:07,6893770,2,43,Disagree,statements,8,Most months,Most months,20,Male,A levels,2,For,To protect others by giving herd immunity.,Hesitant,2,NA,NA
46,1659960000000,08/08/2022 11:07,6893770,2,44,Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",2,For,The vaccines are safe enough to use,Hesitant,2,NA,NA
47,1659960000000,08/08/2022 11:07,6893770,2,45,Somewhat Agree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",3,Against,They are unsafe and can cause long-term effects.,Hesitant,5,NA,NA
48,1659960000000,08/08/2022 11:07,6893770,2,46,Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",1,For,They wish for life to return to normal and the best way to achieve this is maximum uptake,Hesitant,2,NA,NA
49,1659960000000,08/08/2022 11:07,6893770,2,47,Neither Agree nor Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",1,Against,The covid 19 vaccines are a conspiracy,Hesitant,4,NA,NA
50,1659960000000,08/08/2022 11:07,6893770,2,48,Strongly Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",1,For,It's essential to be vaccinated to regain normality.,Hesitant,1,NA,NA
51,1659960000000,08/08/2022 11:08,6893770,2,49,Neither Agree nor Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,1,For,I am scared and if this vaccine will help then I'll do it,Hesitant,4,NA,NA
52,1659960000000,08/08/2022 11:08,6893770,2,50,Strongly Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",1,Against,"It was developed too quickly, I think they should have taken more time on it",Hesitant,7,NA,NA
53,1659960000000,08/08/2022 11:08,6893770,2,51,Strongly Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",1,Against,I am one of those idiots who thinks I will become magnetic or have trackers in me,Hesitant,1,NA,NA
54,1659960000000,08/08/2022 11:08,6893770,2,52,Strongly Agree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",1,Against,It's not qualified or tested enough,Hesitant,7,NA,NA
55,1659960000000,08/08/2022 11:08,6893770,2,53,Strongly Agree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",1,Against,They believe we have not had enough time to develop an effective vaccine.,Hesitant,7,NA,NA
56,1659960000000,08/08/2022 11:08,6893770,2,54,Strongly Agree,statements,8,Most months,Most months,20,Male,A levels,3,Against,I'm young and healthy so why should I get vaccinated?,Hesitant,7,NA,NA
58,1659960000000,08/08/2022 11:08,6893770,2,56,Disagree,statements,8,Most months,Most months,20,Male,A levels,3,For,To help end the negative social impact of the virus such as lockdowns and online education,Hesitant,2,NA,NA
60,1659960000000,08/08/2022 11:08,6893770,2,58,Disagree,statements,3,Rarely,A few times a year,55,Female,A levels,1,For,I want to have it for my own and my familyâs protection,Hesitant,2,NA,NA
61,1659960000000,08/08/2022 11:08,6893770,2,59,Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",3,Against,I think that the vaccine is fake,Hesitant,2,NA,NA
62,1659960000000,08/08/2022 11:08,6893770,2,60,Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",3,For,"Vaccines are important, they help us all live safely and healthily",Hesitant,2,NA,NA
63,1659960000000,08/08/2022 11:08,6893770,2,61,Somewhat Agree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",3,For,Doctors are trying to help,Hesitant,5,NA,NA
64,1659960000000,08/08/2022 11:08,6893770,2,62,Somewhat Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",1,For,Reduced risk of getting COVID.,Hesitant,3,NA,NA
3,1659960000000,08/08/2022 11:29,6893821,2,1,Strongly Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",1,For,It's essential to be vaccinated to regain normality.,Hesitant,1,NA,NA
4,1659960000000,08/08/2022 11:29,6893821,2,2,Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",3,Against,The risks of side effects to su h as blood clots with vaccines are too high.,Hesitant,2,NA,NA
5,1659960000000,08/08/2022 11:29,6893821,2,3,Somewhat Agree,statements,3,Rarely,A few times a year,55,Female,A levels,1,Against,Hasn't been tested for long enough,Hesitant,5,NA,NA
6,1659960000000,08/08/2022 11:29,6893821,2,4,Strongly Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",2,For,It's one of the only ways we will return to normal life,Hesitant,1,NA,NA
7,1659960000000,08/08/2022 11:29,6893821,2,5,Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,3,For,Alot of people have died from getting Covid and I want to keep my self safe and I trust it,Hesitant,2,NA,NA
