Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ID,discuss_1,read_1,age,gender,edu,arg_ID,Arg_Position,Arguments,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,rater_position,response_ratings
13,1651663806215,04/05/2022 11:30:06,6404832,4,11,Neither Agree nor Disagree,statements,50,Rarely,A few times a year,70,Male,A levels,1,Remain,Remainers to whom I spoke seemed convince that the UK would lose huge amounts of trade and therefore income would suffer.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,4
14,1651663808828,04/05/2022 11:30:08,6404832,4,12,Somewhat Agree,statements,43,Rarely,A few times a year,28,Male,"Undergraduate degree (BSc, BA)",3,Leave,Interest of British People,Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,LEAVE,5
15,1651663946330,04/05/2022 11:32:26,6404832,4,13,Somewhat Agree,statements,49,Rarely,Rarely,22,Female,A levels,1,Leave,Voting leave will mean that some products will be cheaper as we will not be importing them from other countries.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,5
16,1651663947826,04/05/2022 11:32:27,6404832,4,14,Somewhat Agree,statements,47,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",2,Leave,"They always change the goal posts for agreements, e.g. an agreement needs to be made negotiated but they didn't allow any concessions, not budging on any points and saying 'time is running out'",Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,5
17,1651663958493,04/05/2022 11:32:38,6404832,4,15,Agree,statements,50,Rarely,A few times a year,70,Male,A levels,2,Leave,"The financial benefits of not having to pay huge sums of money into a governing body who are not accountable for their funds and have not had their accounts passed for audit in over twenty years,",Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,6
18,1651663964938,04/05/2022 11:32:44,6404832,4,16,Strongly Agree,statements,45,Never,Rarely,35,Female,"Undergraduate degree (BSc, BA)",2,Leave,Less interference from the EU.,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,7
19,1651663965415,04/05/2022 11:32:45,6404832,4,17,Strongly Agree,statements,46,Rarely,Never,65,Female,"Undergraduate degree (BSc, BA)",2,Remain,We will lose trading agreements if we leave,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,7
20,1651663967259,04/05/2022 11:32:47,6404832,4,18,Somewhat Agree,statements,42,Rarely,Most months,59,Male,GCSEs,1,Remain,safety and security of the country,Neither Agree nor Disagree,NA,Agree,Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,LEAVE,5
21,1651663971946,04/05/2022 11:32:51,6404832,4,19,Strongly Agree,statements,44,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",1,Remain,People feared it would damage the economy and we would lose the priveleges we had from imported foods etc,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,7
22,1651663974643,04/05/2022 11:32:54,6404832,4,20,Somewhat Agree,statements,42,Rarely,Most months,59,Male,GCSEs,2,Leave,restriction of trade,Neither Agree nor Disagree,NA,Agree,Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,LEAVE,5
23,1651663978234,04/05/2022 11:32:58,6404832,4,21,Neither Agree nor Disagree,statements,44,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",3,Remain,"For holidaying purposes, to allow us to freely travel abroad without visas and restrictions",Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,4
24,1651663982098,04/05/2022 11:33:02,6404832,4,22,Strongly Agree,statements,41,Never,Never,26,Female,Vocational Training / Apprenticeship,3,Remain,EU can provide consumer goods over to the UK,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,LEAVE,7
25,1651664002000,04/05/2022 11:33:22,6404832,4,23,Strongly Agree,statements,46,Rarely,Never,65,Female,"Undergraduate degree (BSc, BA)",2,Leave,Too many rules being imposed,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,7
26,1651664005492,04/05/2022 11:33:25,6404832,4,24,Strongly Agree,statements,49,Rarely,Rarely,22,Female,A levels,3,Remain,Could keep ties/relationships to other countries strong,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,7
27,1651664006315,04/05/2022 11:33:26,6404832,4,25,Strongly Agree,statements,43,Rarely,A few times a year,28,Male,"Undergraduate degree (BSc, BA)",3,Remain,Many businesses are in favour for it,Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,LEAVE,7
28,1651664008692,04/05/2022 11:33:28,6404832,4,26,Strongly Agree,statements,49,Rarely,Rarely,22,Female,A levels,1,Remain,Keeps tradition alive,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,7
29,1651664011564,04/05/2022 11:33:31,6404832,4,27,Agree,statements,48,Rarely,Rarely,28,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Remain,For national security.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,6
30,1651664013275,04/05/2022 11:33:33,6404832,4,28,Somewhat Agree,statements,44,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",2,Remain,To protect the economy in terms of the people here that are already in secure jobs thus not disrupting our welfare (i.e jobs like doctors healthcare etc),Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,5
31,1651664015125,04/05/2022 11:33:35,6404832,4,29,Strongly Agree,statements,42,Rarely,Most months,59,Male,GCSEs,3,Leave,uncontrolled immigration,Neither Agree nor Disagree,NA,Agree,Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,LEAVE,7
32,1651664020559,04/05/2022 11:33:40,6404832,4,30,Strongly Agree,statements,44,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",2,Leave,To help us control our own money and  support UK based businesses,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,7
33,1651664022719,04/05/2022 11:33:42,6404832,4,31,Strongly Agree,statements,49,Rarely,Rarely,22,Female,A levels,2,Leave,Voting leave will give our nation a sense of independence as a small island.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,7
34,1651664025970,04/05/2022 11:33:45,6404832,4,32,Neither Agree nor Disagree,statements,47,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",3,Leave,the EU never really wanted us to be part of it in the first place.,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,4
35,1651664028329,04/05/2022 11:33:48,6404832,4,33,Somewhat Disagree,statements,47,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",3,Remain,More beneficial trading within EU,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,3
36,1651664029929,04/05/2022 11:33:49,6404832,4,34,Somewhat Disagree,statements,47,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",1,Remain,Ease of travel between countries in the EU,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,3
37,1651664033024,04/05/2022 11:33:53,6404832,4,35,Strongly Agree,statements,41,Never,Never,26,Female,Vocational Training / Apprenticeship,1,Remain,EU businesses can continue to invest money into business in the UK,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,LEAVE,7
38,1651664035213,04/05/2022 11:33:55,6404832,4,36,Strongly Agree,statements,46,Rarely,Never,65,Female,"Undergraduate degree (BSc, BA)",3,Leave,Too many restrictions,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,7
39,1651664036826,04/05/2022 11:33:56,6404832,4,37,Strongly Agree,statements,47,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",2,Remain,Agreements are already in place,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,7
40,1651664037905,04/05/2022 11:33:57,6404832,4,38,Strongly Agree,statements,47,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",1,Leave,The 'pillar' countries of the EU always have more sway than the other members as they have more power and say over things that are to be passed or not,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,7
41,1651664040020,04/05/2022 11:34:00,6404832,4,39,Strongly Agree,statements,41,Never,Never,26,Female,Vocational Training / Apprenticeship,2,Remain,It opens up more jobs or keep hold of jobs.,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,LEAVE,7
42,1651664042943,04/05/2022 11:34:02,6404832,4,40,Strongly Agree,statements,50,Rarely,A few times a year,70,Male,A levels,3,Leave,Most importantly it will give the UK the opportunity to make their own laws and not have to abide by those made by the EU and which many do not agree with and more to the point made by an unelected bo,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,7
43,1651664044298,04/05/2022 11:34:04,6404832,4,41,Strongly Agree,statements,49,Rarely,Rarely,22,Female,A levels,3,Leave,Better for local small businesses,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,7
44,1651664045773,04/05/2022 11:34:05,6404832,4,42,Strongly Agree,statements,48,Rarely,Rarely,28,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Leave,For our independence and gain some of our powers back.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,7
45,1651664046752,04/05/2022 11:34:06,6404832,4,43,Strongly Agree,statements,45,Never,Rarely,35,Female,"Undergraduate degree (BSc, BA)",3,Remain,We are better protected,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,7
46,1651664049569,04/05/2022 11:34:09,6404832,4,44,Neither Agree nor Disagree,statements,46,Rarely,Never,65,Female,"Undergraduate degree (BSc, BA)",1,Remain,Itâs worthwhile being a member,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,4
48,1651664051129,04/05/2022 11:34:11,6404832,4,46,Strongly Agree,statements,43,Rarely,A few times a year,28,Male,"Undergraduate degree (BSc, BA)",2,Leave,UK to govern own rules rather than EU rules,Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,LEAVE,7
49,1651664054480,04/05/2022 11:34:14,6404832,4,47,Neither Agree nor Disagree,statements,45,Never,Rarely,35,Female,"Undergraduate degree (BSc, BA)",1,Remain,We are stronger in the EU,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,4
50,1651664058414,04/05/2022 11:34:18,6404832,4,48,Strongly Agree,statements,45,Never,Rarely,35,Female,"Undergraduate degree (BSc, BA)",1,Leave,More control over decisions,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,7
51,1651664060748,04/05/2022 11:34:20,6404832,4,49,Strongly Agree,statements,46,Rarely,Never,65,Female,"Undergraduate degree (BSc, BA)",1,Leave,Paying too much to be a member,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,7
52,1651664067502,04/05/2022 11:34:27,6404832,4,50,Somewhat Agree,statements,50,Rarely,A few times a year,70,Male,A levels,3,Remain,Remainers felt that a united front both politically and from a military perspective would be preferable as the peace of europe had been good since the second world war,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,5
53,1651664072229,04/05/2022 11:34:32,6404832,4,51,Somewhat Agree,statements,43,Rarely,A few times a year,28,Male,"Undergraduate degree (BSc, BA)",1,Remain,The economy will thrive better as it is so integrated to the EU,Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,LEAVE,5
54,1651664076568,04/05/2022 11:34:36,6404832,4,52,Strongly Agree,statements,48,Rarely,Rarely,28,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Leave,To support British Businesses and stop them from paying EU taxes for selling abroad.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,7
55,1651664078677,04/05/2022 11:34:38,6404832,4,53,Strongly Agree,statements,44,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",1,Leave,In order for the UK to regain control over immigration and border control.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,7
56,1651664080471,04/05/2022 11:34:40,6404832,4,54,Neither Agree nor Disagree,statements,48,Rarely,Rarely,28,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Remain,To travel easily between countries.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,4
57,1651664082920,04/05/2022 11:34:42,6404832,4,55,Neither Agree nor Disagree,statements,45,Never,Rarely,35,Female,"Undergraduate degree (BSc, BA)",2,Remain,Less impact on exports,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,4
58,1651664086000,04/05/2022 11:34:46,6404832,4,56,Strongly Agree,statements,41,Never,Never,26,Female,Vocational Training / Apprenticeship,1,Leave,More jobs for British people,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,LEAVE,7
59,1651664087821,04/05/2022 11:34:47,6404832,4,57,Neither Agree nor Disagree,statements,42,Rarely,Most months,59,Male,GCSEs,3,Remain,worried about change,Neither Agree nor Disagree,NA,Agree,Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,LEAVE,4
60,1651664097655,04/05/2022 11:34:57,6404832,4,58,Somewhat Disagree,statements,50,Rarely,A few times a year,70,Male,A levels,2,Remain,Similar to above those remainers I spoke to were convinced there would be large numbers of people made redundant. One person only voted remain because she thought her son might lose his job.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,3
62,1651664105790,04/05/2022 11:35:05,6404832,4,60,Strongly Agree,statements,48,Rarely,Rarely,28,Female,"Postgraduate degree (MSc, MA, MPhil)",3,Leave,Stop us from paying out lots of money to EU as we paid them a lot and more than some other EU countries.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,7
63,1651664107898,04/05/2022 11:35:07,6404832,4,61,Strongly Agree,statements,42,Rarely,Most months,59,Male,GCSEs,2,Remain,centralised policies,Neither Agree nor Disagree,NA,Agree,Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,LEAVE,7
64,1651664113683,04/05/2022 11:35:13,6404832,4,62,Strongly Agree,statements,50,Rarely,A few times a year,70,Male,A levels,1,Leave,It would be possible to commence preventing unwanted immigration into the UK. More importantly any immigration could be controlled.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,7
3,1651664144984,04/05/2022 11:35:44,6404910,4,1,Neither Agree nor Disagree,statements,48,Rarely,Rarely,28,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Remain,For national security.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,4
4,1651664148701,04/05/2022 11:35:48,6404910,4,2,Agree,statements,42,Rarely,Most months,59,Male,GCSEs,1,Remain,safety and security of the country,Neither Agree nor Disagree,NA,Agree,Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,LEAVE,6
5,1651664150563,04/05/2022 11:35:50,6404910,4,3,Agree,statements,46,Rarely,Never,65,Female,"Undergraduate degree (BSc, BA)",2,Leave,Too many rules being imposed,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,6
6,1651664154051,04/05/2022 11:35:54,6404910,4,4,Strongly Agree,statements,45,Never,Rarely,35,Female,"Undergraduate degree (BSc, BA)",1,Leave,More control over decisions,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,7
7,1651664160653,04/05/2022 11:36:00,6404910,4,5,Disagree,statements,50,Rarely,A few times a year,70,Male,A levels,2,Remain,Similar to above those remainers I spoke to were convinced there would be large numbers of people made redundant. One person only voted remain because she thought her son might lose his job.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,2
8,1651664175624,04/05/2022 11:36:15,6404910,4,6,Neither Agree nor Disagree,statements,46,Rarely,Never,65,Female,"Undergraduate degree (BSc, BA)",1,Remain,Itâs worthwhile being a member,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,4
9,1651664187461,04/05/2022 11:36:27,6404910,4,7,Neither Agree nor Disagree,statements,50,Rarely,A few times a year,70,Male,A levels,3,Remain,Remainers felt that a united front both politically and from a military perspective would be preferable as the peace of europe had been good since the second world war,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,4
10,1651664191698,04/05/2022 11:36:31,6404910,4,8,Agree,statements,46,Rarely,Never,65,Female,"Undergraduate degree (BSc, BA)",2,Remain,We will lose trading agreements if we leave,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,6
11,1651664194807,04/05/2022 11:36:34,6404910,4,9,Agree,statements,48,Rarely,Rarely,28,Female,"Postgraduate degree (MSc, MA, MPhil)",3,Leave,Stop us from paying out lots of money to EU as we paid them a lot and more than some other EU countries.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,6
12,1651664198918,04/05/2022 11:36:38,6404910,4,10,Somewhat Agree,statements,47,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",3,Remain,More beneficial trading within EU,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,5
13,1651664202099,04/05/2022 11:36:42,6404910,4,11,Somewhat Agree,statements,45,Never,Rarely,35,Female,"Undergraduate degree (BSc, BA)",2,Leave,Less interference from the EU.,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,5
14,1651664204993,04/05/2022 11:36:44,6404910,4,12,Neither Agree nor Disagree,statements,46,Rarely,Never,65,Female,"Undergraduate degree (BSc, BA)",3,Remain,No freedom of movement,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,4
15,1651664206574,04/05/2022 11:36:46,6404910,4,13,Neither Agree nor Disagree,statements,42,Rarely,Most months,59,Male,GCSEs,3,Remain,worried about change,Neither Agree nor Disagree,NA,Agree,Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,LEAVE,4
16,1651664208830,04/05/2022 11:36:48,6404910,4,14,Neither Agree nor Disagree,statements,41,Never,Never,26,Female,Vocational Training / Apprenticeship,1,Leave,More jobs for British people,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,LEAVE,4
17,1651664211682,04/05/2022 11:36:51,6404910,4,15,Neither Agree nor Disagree,statements,45,Never,Rarely,35,Female,"Undergraduate degree (BSc, BA)",3,Remain,We are better protected,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,4
