Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ARGUER_ID,discuss_1,read_1,age,gender,edu,argument_ID,Arg_Position,Arguments,rater_position,response_ratings,Arguer_Position,argument_index,Rater_ID,argument_Position,reasoning_stan,intellectual_stan_1,intellectual_stan_2,intellectual_stan_3,morality_stan_1,morality_stan_2,morality_stan_3,condition,ITT_cond,passedITT
42,1647360000000,15/03/2022 15:53,6054643,7,40,Somewhat Agree,statements,23,Most months,Most weeks,36,Female,A levels,2,For,"For health reasons, a whole foods plant based diet is the best that you can do for your body.",Pro,5,PRO,134,195,For,Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Somewhat Agree,Neither Agree nor Disagree,Baseline,0,NA
43,1647360000000,15/03/2022 15:53,6054643,7,41,Somewhat Agree,statements,28,Once or twice a year,Most days,43,Female,Vocational Training / Apprenticeship,3,For,for the sake of health,Pro,5,PRO,165,195,For,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
46,1647360000000,15/03/2022 15:53,6054643,7,44,Strongly Agree,statements,22,Most months,Most weeks,24,Male,Vocational Training / Apprenticeship,1,For,For the environment.,Pro,7,PRO,127,195,For,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Baseline,0,NA
47,1647360000000,15/03/2022 15:53,6054643,7,45,Strongly Agree,statements,30,Rarely,Most months,26,Female,A levels,1,For,you wont eat dead animals,Pro,7,PRO,175,195,For,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Neither Agree nor Disagree,Baseline,0,NA
49,1647360000000,15/03/2022 15:53,6054643,7,47,Strongly Agree,statements,24,A few times a year,A few times a year,21,Male,"Undergraduate degree (BSc, BA)",1,For,"Against the animal exploitation, because more than 70 billion land animals are killed for food every year. Cows are raped repeatedly for milk until exhaustion and death, and separated from their calfs",Pro,7,PRO,139,195,For,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
50,1647360000000,15/03/2022 15:53,6054643,7,48,Strongly Agree,statements,21,A few times a year,Most months,22,Non-binary,"Undergraduate degree (BSc, BA)",1,For,Killing animals is unethical.,Pro,7,PRO,121,195,For,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
52,1647360000000,15/03/2022 15:53,6054643,7,50,Strongly Agree,statements,23,Most months,Most weeks,36,Female,A levels,3,For,For the environment. Animal industry is one of the most detrimental for the Earth.,Pro,7,PRO,135,195,For,Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Somewhat Agree,Neither Agree nor Disagree,Baseline,0,NA
53,1647360000000,15/03/2022 15:54,6054643,7,51,Strongly Agree,statements,28,Once or twice a year,Most days,43,Female,Vocational Training / Apprenticeship,1,For,I dont want to eat animals,Pro,7,PRO,163,195,For,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
54,1647360000000,15/03/2022 15:54,6054643,7,52,Strongly Agree,statements,23,Most months,Most weeks,36,Female,A levels,1,For,"For the animals, I don't want to cause any more suffering.",Pro,7,PRO,133,195,For,Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Somewhat Agree,Neither Agree nor Disagree,Baseline,0,NA
57,1647360000000,15/03/2022 15:54,6054643,7,55,Strongly Agree,statements,25,Most months,A few times a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,For the wellbeing of the animals,Pro,7,PRO,145,195,For,Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Baseline,0,NA
58,1647360000000,15/03/2022 15:54,6054643,7,56,Agree,statements,30,Rarely,Most months,26,Female,A levels,3,For,you probably feel better mentally and physically,Pro,6,PRO,177,195,For,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Neither Agree nor Disagree,Baseline,0,NA
59,1647360000000,15/03/2022 15:54,6054643,7,57,Agree,statements,28,Once or twice a year,Most days,43,Female,Vocational Training / Apprenticeship,2,For,for the good of the environment,Pro,6,PRO,164,195,For,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
60,1647360000000,15/03/2022 15:54,6054643,7,58,Agree,statements,25,Most months,A few times a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,"For your own health, a vegan diet when is well balanced is much healthier than an non-vegan one, and chances of having cardiovascular problems or obesity etc is reduced",Pro,6,PRO,147,195,For,Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Baseline,0,NA
61,1647360000000,15/03/2022 15:54,6054643,7,59,Agree,statements,26,Rarely,A few times a year,24,Non-binary,"Undergraduate degree (BSc, BA)",1,For,I want to be ecofriendly.,Pro,6,PRO,151,195,For,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
62,1647360000000,15/03/2022 15:54,6054643,7,60,Agree,statements,21,A few times a year,Most months,22,Non-binary,"Undergraduate degree (BSc, BA)",2,For,A Vegan diet is often healthier.,Pro,6,PRO,122,195,For,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
64,1647360000000,15/03/2022 15:54,6054643,7,62,Somewhat Agree,statements,22,Most months,Most weeks,24,Male,Vocational Training / Apprenticeship,2,For,For the goodbeing animals.,Pro,5,PRO,128,195,For,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Baseline,0,NA
5,1647360000000,15/03/2022 16:11,6054824,7,3,Somewhat Disagree,statements,26,Rarely,A few times a year,24,Non-binary,"Undergraduate degree (BSc, BA)",2,For,I do not like the taste of meat.,Pro,3,PRO,152,197,For,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
6,1647360000000,15/03/2022 16:11,6054824,7,4,Agree,statements,29,A few times a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",3,For,"Animals suffer too much, as this industry has no tact to kill them and turn them into food",Pro,6,PRO,171,197,For,Neither Agree nor Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
7,1647360000000,15/03/2022 16:12,6054824,7,5,Somewhat Disagree,statements,24,A few times a year,A few times a year,21,Male,"Undergraduate degree (BSc, BA)",1,For,"Against the animal exploitation, because more than 70 billion land animals are killed for food every year. Cows are raped repeatedly for milk until exhaustion and death, and separated from their calfs",Pro,3,PRO,139,197,For,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
10,1647360000000,15/03/2022 16:12,6054824,7,8,Strongly Agree,statements,21,A few times a year,Most months,22,Non-binary,"Undergraduate degree (BSc, BA)",1,For,Killing animals is unethical.,Pro,7,PRO,121,197,For,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
14,1647360000000,15/03/2022 16:12,6054824,7,12,Agree,statements,30,Rarely,Most months,26,Female,A levels,3,For,you probably feel better mentally and physically,Pro,6,PRO,177,197,For,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Neither Agree nor Disagree,Baseline,0,NA
15,1647360000000,15/03/2022 16:12,6054824,7,13,Agree,statements,27,A few times a year,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",2,For,To stop destroying the planet.,Pro,6,PRO,158,197,For,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
16,1647360000000,15/03/2022 16:12,6054824,7,14,Agree,statements,23,Most months,Most weeks,36,Female,A levels,3,For,For the environment. Animal industry is one of the most detrimental for the Earth.,Pro,6,PRO,135,197,For,Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Somewhat Agree,Neither Agree nor Disagree,Baseline,0,NA
18,1647360000000,15/03/2022 16:12,6054824,7,16,Somewhat Disagree,statements,29,A few times a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",1,For,The most important reason is the meat industry is the most polluting industry in the world.,Pro,3,PRO,169,197,For,Neither Agree nor Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
20,1647360000000,15/03/2022 16:13,6054824,7,18,Agree,statements,24,A few times a year,A few times a year,21,Male,"Undergraduate degree (BSc, BA)",2,For,"For the ecology, to help against global warming. Intensive animal farming is one the main causes of environmental problems.",Pro,6,PRO,140,197,For,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
21,1647360000000,15/03/2022 16:13,6054824,7,19,Agree,statements,22,Most months,Most weeks,24,Male,Vocational Training / Apprenticeship,3,For,For health reasons and staying healthy.,Pro,6,PRO,129,197,For,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Baseline,0,NA
22,1647360000000,15/03/2022 16:13,6054824,7,20,Agree,statements,28,Once or twice a year,Most days,43,Female,Vocational Training / Apprenticeship,2,For,for the good of the environment,Pro,6,PRO,164,197,For,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
24,1647360000000,15/03/2022 16:13,6054824,7,22,Strongly Agree,statements,21,A few times a year,Most months,22,Non-binary,"Undergraduate degree (BSc, BA)",3,For,It's often better for the environment to follow a vegan diet rather than an omnivore one.,Pro,7,PRO,123,197,For,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
25,1647360000000,15/03/2022 16:13,6054824,7,23,Agree,statements,26,Rarely,A few times a year,24,Non-binary,"Undergraduate degree (BSc, BA)",1,For,I want to be ecofriendly.,Pro,6,PRO,151,197,For,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
26,1647360000000,15/03/2022 16:13,6054824,7,24,Agree,statements,22,Most months,Most weeks,24,Male,Vocational Training / Apprenticeship,2,For,For the goodbeing animals.,Pro,6,PRO,128,197,For,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Baseline,0,NA
27,1647360000000,15/03/2022 16:13,6054824,7,25,Agree,statements,28,Once or twice a year,Most days,43,Female,Vocational Training / Apprenticeship,1,For,I dont want to eat animals,Pro,6,PRO,163,197,For,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
31,1647360000000,15/03/2022 16:13,6054824,7,29,Agree,statements,27,A few times a year,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",3,For,To be a more healthy person.,Pro,6,PRO,159,197,For,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
32,1647360000000,15/03/2022 16:13,6054824,7,30,Agree,statements,25,Most months,A few times a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,"For your own health, a vegan diet when is well balanced is much healthier than an non-vegan one, and chances of having cardiovascular problems or obesity etc is reduced",Pro,6,PRO,147,197,For,Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Baseline,0,NA
33,1647360000000,15/03/2022 16:13,6054824,7,31,Agree,statements,30,Rarely,Most months,26,Female,A levels,1,For,you wont eat dead animals,Pro,6,PRO,175,197,For,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Neither Agree nor Disagree,Baseline,0,NA
37,1647360000000,15/03/2022 16:14,6054824,7,35,Strongly Agree,statements,23,Most months,Most weeks,36,Female,A levels,2,For,"For health reasons, a whole foods plant based diet is the best that you can do for your body.",Pro,7,PRO,134,197,For,Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Somewhat Agree,Neither Agree nor Disagree,Baseline,0,NA
42,1647360000000,15/03/2022 16:14,6054824,7,40,Agree,statements,29,A few times a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",2,For,I believe that an animal-based diet harms our health in the long run,Pro,6,PRO,170,197,For,Neither Agree nor Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
44,1647360000000,15/03/2022 16:14,6054824,7,42,Agree,statements,26,Rarely,A few times a year,24,Non-binary,"Undergraduate degree (BSc, BA)",3,For,I want to stay fit and healthy.,Pro,6,PRO,153,197,For,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
46,1647360000000,15/03/2022 16:14,6054824,7,44,Agree,statements,21,A few times a year,Most months,22,Non-binary,"Undergraduate degree (BSc, BA)",2,For,A Vegan diet is often healthier.,Pro,6,PRO,122,197,For,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
51,1647360000000,15/03/2022 16:14,6054824,7,49,Agree,statements,24,A few times a year,A few times a year,21,Male,"Undergraduate degree (BSc, BA)",3,For,"And for Health purposes, a lot of studies showed time after time that having a vegan diet is beneficial for your overall health",Pro,6,PRO,141,197,For,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
52,1647360000000,15/03/2022 16:15,6054824,7,50,Strongly Agree,statements,25,Most months,A few times a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,"For the environment, a vegan diet has a much smaller impact on the planet than a non-vegan one",Pro,7,PRO,146,197,For,Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Baseline,0,NA
53,1647360000000,15/03/2022 16:15,6054824,7,51,Agree,statements,28,Once or twice a year,Most days,43,Female,Vocational Training / Apprenticeship,3,For,for the sake of health,Pro,6,PRO,165,197,For,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
54,1647360000000,15/03/2022 16:15,6054824,7,52,Strongly Agree,statements,25,Most months,A few times a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,For the wellbeing of the animals,Pro,7,PRO,145,197,For,Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Baseline,0,NA
59,1647360000000,15/03/2022 16:15,6054824,7,57,Strongly Agree,statements,23,Most months,Most weeks,36,Female,A levels,1,For,"For the animals, I don't want to cause any more suffering.",Pro,7,PRO,133,197,For,Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Somewhat Agree,Neither Agree nor Disagree,Baseline,0,NA
61,1647360000000,15/03/2022 16:15,6054824,7,59,Agree,statements,27,A few times a year,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",1,For,For the weel being of animals.,Pro,6,PRO,157,197,For,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
62,1647360000000,15/03/2022 16:15,6054824,7,60,Agree,statements,22,Most months,Most weeks,24,Male,Vocational Training / Apprenticeship,1,For,For the environment.,Pro,6,PRO,127,197,For,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Baseline,0,NA
64,1647360000000,15/03/2022 16:15,6054824,7,62,Agree,statements,30,Rarely,Most months,26,Female,A levels,2,For,you contribute less to climate change,Pro,6,PRO,176,197,For,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Neither Agree nor Disagree,Baseline,0,NA
5,1647360000000,15/03/2022 15:49,6054638,7,3,Strongly Agree,statements,79,A few times a year,A few times a year,37,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,Animal rights reasons,Pro,7,PRO,470,194,For,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Baseline,0,NA
6,1647360000000,15/03/2022 15:50,6054638,7,4,Strongly Agree,statements,74,Most months,Most weeks,21,Female,A levels,2,For,caring about animals,Pro,7,PRO,440,194,For,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Disagree,Baseline,0,NA
8,1647360000000,15/03/2022 15:50,6054638,7,6,Strongly Agree,statements,75,A few times a year,Most weeks,33,Female,"Undergraduate degree (BSc, BA)",1,For,I'd rather give my money to vegan companies,Pro,7,PRO,445,194,For,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
9,1647360000000,15/03/2022 15:50,6054638,7,7,Agree,statements,73,A few times a year,A few times a year,19,Male,Vocational Training / Apprenticeship,1,For,"By eating meat, we are killing animals",Pro,6,PRO,433,194,For,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Neither Agree nor Disagree,Somewhat Agree,Baseline,0,NA
10,1647360000000,15/03/2022 15:50,6054638,7,8,Agree,statements,77,Once or twice a year,A few times a year,30,Male,"Undergraduate degree (BSc, BA)",3,For,I consider the wider benefits of sustainability.,Pro,6,PRO,459,194,For,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
11,1647360000000,15/03/2022 15:50,6054638,7,9,Agree,statements,76,Once or twice a year,Most months,28,Non-binary,Vocational Training / Apprenticeship,1,For,"Well-planned vegan diets follow healthy eating guidelines, and contain all the nutrients that our bodies need. Both the British Dietetic Association and the American Academy of Nutrition and Dietetics",Pro,6,PRO,451,194,For,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
13,1647360000000,15/03/2022 15:50,6054638,7,11,Strongly Agree,statements,78,A few times a year,Most months,32,Female,"Undergraduate degree (BSc, BA)",2,For,For the animals well-being,Pro,7,PRO,464,194,For,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Baseline,0,NA
15,1647360000000,15/03/2022 15:50,6054638,7,13,Strongly Agree,statements,79,A few times a year,A few times a year,37,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,It's better for the Environment,Pro,7,PRO,469,194,For,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Baseline,0,NA
16,1647360000000,15/03/2022 15:50,6054638,7,14,Strongly Disagree,statements,80,Once or twice a year,Most months,32,Male,"Postgraduate degree (MSc, MA, MPhil)",1,For,"It's healthier than eating meat. You eat less fat and keep cholesterol down. You can feel better, lighter, in the long run.",Pro,1,PRO,475,194,For,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
17,1647360000000,15/03/2022 15:50,6054638,7,15,Strongly Agree,statements,71,A few times a year,Most weeks,38,Female,"Undergraduate degree (BSc, BA)",1,For,Ethics - animals don't belong to us and we don't need to kill them for any reason,Pro,7,PRO,421,194,For,Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
18,1647360000000,15/03/2022 15:50,6054638,7,16,Strongly Agree,statements,71,A few times a year,Most weeks,38,Female,"Undergraduate degree (BSc, BA)",2,For,Sustainability - animal farming wastes resources and contributes to climate change,Pro,7,PRO,422,194,For,Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
21,1647360000000,15/03/2022 15:50,6054638,7,19,Agree,statements,74,Most months,Most weeks,21,Female,A levels,3,For,"vegan diet has health benefits
",Pro,6,PRO,441,194,For,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Disagree,Baseline,0,NA
23,1647360000000,15/03/2022 15:50,6054638,7,21,Agree,statements,80,Once or twice a year,Most months,32,Male,"Postgraduate degree (MSc, MA, MPhil)",3,For,It is cheaper than eating meat.,Pro,6,PRO,477,194,For,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
24,1647360000000,15/03/2022 15:50,6054638,7,22,Strongly Agree,statements,78,A few times a year,Most months,32,Female,"Undergraduate degree (BSc, BA)",3,For,For the environment,Pro,7,PRO,465,194,For,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Baseline,0,NA
25,1647360000000,15/03/2022 15:50,6054638,7,23,Somewhat Agree,statements,75,A few times a year,Most weeks,33,Female,"Undergraduate degree (BSc, BA)",3,For,Feel I eat healthier and more varied meals,Pro,5,PRO,447,194,For,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
27,1647360000000,15/03/2022 15:51,6054638,7,25,Somewhat Agree,statements,77,Once or twice a year,A few times a year,30,Male,"Undergraduate degree (BSc, BA)",1,For,I prefer the taste.,Pro,5,PRO,457,194,For,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
