Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ARGUER_ID,discuss_1,read_1,age,gender,edu,argument_ID,Arg_Position,Arguments,rater_position,response_ratings,Arguer_Position,argument_index,Rater_ID,argument_Position,condition,ITT_cond,passedITT
47,1658935862522,27/07/2022 15:31:02,6847612,3,45,Strongly Agree,statements,6,Most weeks,Most days,32,Female,A levels,1,For,I want to get my freedoms back,Pro,7,ANTI,631,305,For,ITT,1,1
50,1658935872364,27/07/2022 15:31:12,6847612,3,48,Strongly Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,1,For,The more people who get vaccinated the sooner the restrictions will be lifted.,Pro,7,ANTI,625,305,For,ITT,1,1
51,1658935874608,27/07/2022 15:31:14,6847612,3,49,Strongly Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",3,For,the long term benefits outweigh the temporary side-effects,Pro,7,ANTI,651,305,For,ITT,1,1
53,1658935881234,27/07/2022 15:31:21,6847612,3,51,Strongly Disagree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,2,For,Because I am old and therefore at a higher risk of dying if I caught Covid,Pro,1,ANTI,644,305,For,ITT,1,0
59,1658935899659,27/07/2022 15:31:39,6847612,3,57,Strongly Agree,statements,1,Most days,Most months,32,Female,A levels,2,For,there are a load of people receiving the vaccine it's safe.,Pro,7,ANTI,602,305,For,ITT,1,1
60,1658935903291,27/07/2022 15:31:43,6847612,3,58,Neither Agree nor Disagree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,3,For,Because in the end everyone will be forced to have the vaccine if they want to go on holiday or go to certain events,Pro,4,ANTI,645,305,For,ITT,1,0
3,1658935960395,27/07/2022 15:32:40,6847658,3,1,Strongly Agree,statements,6,Most weeks,Most days,32,Female,A levels,3,For,To be able to go on holiday,Pro,7,ANTI,633,311,For,ITT,1,1
6,1658935973624,27/07/2022 15:32:53,6847658,3,4,Strongly Disagree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,2,For,Only a few people have died from it.,Pro,1,ANTI,638,311,For,ITT,1,0
7,1658935979930,27/07/2022 15:32:59,6847658,3,5,Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",1,For,Protects you against the virus so that you have immunity against it,Pro,6,ANTI,607,311,For,ITT,1,1
9,1658935987000,27/07/2022 15:33:07,6847658,3,7,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,3,For,We must have the vaccine in order to return to normality.,Pro,7,ANTI,621,311,For,ITT,1,1
10,1658935989064,27/07/2022 15:33:09,6847658,3,8,Strongly Agree,statements,6,Most weeks,Most days,32,Female,A levels,1,For,I want to get my freedoms back,Pro,7,ANTI,631,311,For,ITT,1,1
11,1658935992203,27/07/2022 15:33:12,6847658,3,9,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,2,For,It is important to receive the vaccine to protect your health and the health of others.,Pro,7,ANTI,620,311,For,ITT,1,1
12,1658935996734,27/07/2022 15:33:16,6847658,3,10,Strongly Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",3,For,the long term benefits outweigh the temporary side-effects,Pro,7,ANTI,651,311,For,ITT,1,1
14,1658936008626,27/07/2022 15:33:28,6847658,3,12,Strongly Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,1,For,Its the only way to stop the spread of the virus,Pro,7,ANTI,613,311,For,ITT,1,1
15,1658936011135,27/07/2022 15:33:31,6847658,3,13,Strongly Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,2,For,The news said its effective,Pro,7,ANTI,656,311,For,ITT,1,1
20,1658936036309,27/07/2022 15:33:56,6847658,3,18,Strongly Agree,statements,1,Most days,Most months,32,Female,A levels,1,For,i was fine are a few days.,Pro,7,ANTI,601,311,For,ITT,1,1
22,1658936044377,27/07/2022 15:34:04,6847658,3,20,Neither Agree nor Disagree,statements,5,A few times a year,A few times a year,32,Female,A levels,3,For,I want to be able to fly for holidays this summer.,Pro,4,ANTI,627,311,For,ITT,1,0
23,1658936047132,27/07/2022 15:34:07,6847658,3,21,Strongly Agree,statements,1,Most days,Most months,32,Female,A levels,3,For,it will help you protect yourself.,Pro,7,ANTI,603,311,For,ITT,1,1
24,1658936048848,27/07/2022 15:34:08,6847658,3,22,Strongly Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",2,For,better for travelling abroad,Pro,7,ANTI,650,311,For,ITT,1,1
26,1658936061664,27/07/2022 15:34:21,6847658,3,24,Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,1,For,The vaccine is perfectly safe and better versions have already been produced.,Pro,6,ANTI,619,311,For,ITT,1,1
30,1658936088273,27/07/2022 15:34:48,6847658,3,28,Strongly Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",1,For,better for everyone else,Pro,7,ANTI,649,311,For,ITT,1,1
34,1658936107963,27/07/2022 15:35:07,6847658,3,32,Strongly Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,3,For,It protects everyone,Pro,7,ANTI,615,311,For,ITT,1,1
38,1658936130217,27/07/2022 15:35:30,6847658,3,36,Strongly Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,3,For,Im doing my bit to help,Pro,7,ANTI,657,311,For,ITT,1,1
39,1658936134291,27/07/2022 15:35:34,6847658,3,37,Disagree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,3,For,It will stop me from getting covid.,Pro,2,ANTI,639,311,For,ITT,1,0
41,1658936140756,27/07/2022 15:35:40,6847658,3,39,Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,2,For,Everyone else is getting vaccinated.,Pro,6,ANTI,626,311,For,ITT,1,1
42,1658936146790,27/07/2022 15:35:46,6847658,3,40,Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,3,For,Because in the end everyone will be forced to have the vaccine if they want to go on holiday or go to certain events,Pro,6,ANTI,645,311,For,ITT,1,1
43,1658936152446,27/07/2022 15:35:52,6847658,3,41,Disagree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",2,For,Prevents you from catching the virus or getting severe symptoms.,Pro,2,ANTI,608,311,For,ITT,1,0
44,1658936159146,27/07/2022 15:35:59,6847658,3,42,Somewhat Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,2,For,Because I am old and therefore at a higher risk of dying if I caught Covid,Pro,5,ANTI,644,311,For,ITT,1,0
45,1658936165374,27/07/2022 15:36:05,6847658,3,43,Somewhat Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",3,For,Protects others around you from catching the virus?,Pro,5,ANTI,609,311,For,ITT,1,0
46,1658936169170,27/07/2022 15:36:09,6847658,3,44,Strongly Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,1,For,To protect me from becoming seriously ill if I caught Covid,Pro,7,ANTI,643,311,For,ITT,1,1
47,1658936172109,27/07/2022 15:36:12,6847658,3,45,Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,1,For,The government said it safe,Pro,6,ANTI,655,311,For,ITT,1,1
48,1658936178800,27/07/2022 15:36:18,6847658,3,46,Somewhat Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,1,For,The more people who get vaccinated the sooner the restrictions will be lifted.,Pro,5,ANTI,625,311,For,ITT,1,0
49,1658936182264,27/07/2022 15:36:22,6847658,3,47,Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,1,For,It's safe the government said so.,Pro,6,ANTI,637,311,For,ITT,1,1
56,1658936236846,27/07/2022 15:37:16,6847658,3,54,Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,2,For,It has been thoroughly tested,Pro,6,ANTI,614,311,For,ITT,1,1
58,1658936248828,27/07/2022 15:37:28,6847658,3,56,Strongly Agree,statements,1,Most days,Most months,32,Female,A levels,2,For,there are a load of people receiving the vaccine it's safe.,Pro,7,ANTI,602,311,For,ITT,1,1
61,1658936265169,27/07/2022 15:37:45,6847658,3,59,Strongly Agree,statements,6,Most weeks,Most days,32,Female,A levels,2,For,Everyone has to have one so life can go back to normal,Pro,7,ANTI,632,311,For,ITT,1,1
3,1658936075165,27/07/2022 15:34:35,6847674,3,1,Somewhat Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,2,For,The news said its effective,Pro,5,ANTI,656,314,For,ITT,1,0
6,1658936092446,27/07/2022 15:34:52,6847674,3,4,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",2,For,Prevents you from catching the virus or getting severe symptoms.,Pro,7,ANTI,608,314,For,ITT,1,1
7,1658936094055,27/07/2022 15:34:54,6847674,3,5,Strongly Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,3,For,It protects everyone,Pro,7,ANTI,615,314,For,ITT,1,1
10,1658936111153,27/07/2022 15:35:11,6847674,3,8,Neither Agree nor Disagree,statements,5,A few times a year,A few times a year,32,Female,A levels,3,For,I want to be able to fly for holidays this summer.,Pro,4,ANTI,627,314,For,ITT,1,0
12,1658936118784,27/07/2022 15:35:18,6847674,3,10,Strongly Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",3,For,the long term benefits outweigh the temporary side-effects,Pro,7,ANTI,651,314,For,ITT,1,1
13,1658936124254,27/07/2022 15:35:24,6847674,3,11,Somewhat Agree,statements,6,Most weeks,Most days,32,Female,A levels,2,For,Everyone has to have one so life can go back to normal,Pro,5,ANTI,632,314,For,ITT,1,0
16,1658936143604,27/07/2022 15:35:43,6847674,3,14,Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,1,For,The more people who get vaccinated the sooner the restrictions will be lifted.,Pro,6,ANTI,625,314,For,ITT,1,1
17,1658936150140,27/07/2022 15:35:50,6847674,3,15,Somewhat Disagree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,2,For,Only a few people have died from it.,Pro,3,ANTI,638,314,For,ITT,1,0
19,1658936156864,27/07/2022 15:35:56,6847674,3,17,Neither Agree nor Disagree,statements,6,Most weeks,Most days,32,Female,A levels,3,For,To be able to go on holiday,Pro,4,ANTI,633,314,For,ITT,1,0
20,1658936159133,27/07/2022 15:35:59,6847674,3,18,Neither Agree nor Disagree,statements,5,A few times a year,A few times a year,32,Female,A levels,2,For,Everyone else is getting vaccinated.,Pro,4,ANTI,626,314,For,ITT,1,0
22,1658936164556,27/07/2022 15:36:04,6847674,3,20,Agree,statements,1,Most days,Most months,32,Female,A levels,3,For,it will help you protect yourself.,Pro,6,ANTI,603,314,For,ITT,1,1
24,1658936172671,27/07/2022 15:36:12,6847674,3,22,Strongly Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,1,For,To protect me from becoming seriously ill if I caught Covid,Pro,7,ANTI,643,314,For,ITT,1,1
25,1658936174443,27/07/2022 15:36:14,6847674,3,23,Neither Agree nor Disagree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,1,For,The government said it safe,Pro,4,ANTI,655,314,For,ITT,1,0
26,1658936177891,27/07/2022 15:36:17,6847674,3,24,Somewhat Agree,statements,6,Most weeks,Most days,32,Female,A levels,1,For,I want to get my freedoms back,Pro,5,ANTI,631,314,For,ITT,1,0
28,1658936186746,27/07/2022 15:36:26,6847674,3,26,Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",3,For,Protects others around you from catching the virus?,Pro,6,ANTI,609,314,For,ITT,1,1
30,1658936194294,27/07/2022 15:36:34,6847674,3,28,Neither Agree nor Disagree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,1,For,It's safe the government said so.,Pro,4,ANTI,637,314,For,ITT,1,0
31,1658936197303,27/07/2022 15:36:37,6847674,3,29,Neither Agree nor Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",2,For,better for travelling abroad,Pro,4,ANTI,650,314,For,ITT,1,0
32,1658936200114,27/07/2022 15:36:40,6847674,3,30,Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,2,For,It is important to receive the vaccine to protect your health and the health of others.,Pro,6,ANTI,620,314,For,ITT,1,1
33,1658936203685,27/07/2022 15:36:43,6847674,3,31,Somewhat Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,1,For,The vaccine is perfectly safe and better versions have already been produced.,Pro,5,ANTI,619,314,For,ITT,1,0
36,1658936212976,27/07/2022 15:36:52,6847674,3,34,Somewhat Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,2,For,Because I am old and therefore at a higher risk of dying if I caught Covid,Pro,5,ANTI,644,314,For,ITT,1,0
38,1658936223489,27/07/2022 15:37:03,6847674,3,36,Somewhat Disagree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",1,For,Protects you against the virus so that you have immunity against it,Pro,3,ANTI,607,314,For,ITT,1,0
43,1658936248478,27/07/2022 15:37:28,6847674,3,41,Strongly Disagree,statements,1,Most days,Most months,32,Female,A levels,1,For,i was fine are a few days.,Pro,1,ANTI,601,314,For,ITT,1,0
44,1658936252681,27/07/2022 15:37:32,6847674,3,42,Neither Agree nor Disagree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,1,For,Its the only way to stop the spread of the virus,Pro,4,ANTI,613,314,For,ITT,1,0
48,1658936267808,27/07/2022 15:37:47,6847674,3,46,Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",1,For,better for everyone else,Pro,6,ANTI,649,314,For,ITT,1,1
56,1658936304286,27/07/2022 15:38:24,6847674,3,54,Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,2,For,It has been thoroughly tested,Pro,6,ANTI,614,314,For,ITT,1,1
58,1658936308881,27/07/2022 15:38:28,6847674,3,56,Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,3,For,Im doing my bit to help,Pro,6,ANTI,657,314,For,ITT,1,1
59,1658936311396,27/07/2022 15:38:31,6847674,3,57,Disagree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,3,For,It will stop me from getting covid.,Pro,2,ANTI,639,314,For,ITT,1,0
60,1658936318917,27/07/2022 15:38:38,6847674,3,58,Neither Agree nor Disagree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,3,For,Because in the end everyone will be forced to have the vaccine if they want to go on holiday or go to certain events,Pro,4,ANTI,645,314,For,ITT,1,0
61,1658936322765,27/07/2022 15:38:42,6847674,3,59,Somewhat Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,3,For,We must have the vaccine in order to return to normality.,Pro,5,ANTI,621,314,For,ITT,1,0
63,1658936329491,27/07/2022 15:38:49,6847674,3,61,Agree,statements,1,Most days,Most months,32,Female,A levels,2,For,there are a load of people receiving the vaccine it's safe.,Pro,6,ANTI,602,314,For,ITT,1,1
5,1658936153126,27/07/2022 15:35:53,6847685,3,3,Strongly Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,2,For,It has been thoroughly tested,Pro,7,ANTI,614,318,For,ITT,1,1
7,1658936160782,27/07/2022 15:36:00,6847685,3,5,Agree,statements,1,Most days,Most months,32,Female,A levels,2,For,there are a load of people receiving the vaccine it's safe.,Pro,6,ANTI,602,318,For,ITT,1,1
9,1658936168037,27/07/2022 15:36:08,6847685,3,7,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",3,For,Protects others around you from catching the virus?,Pro,7,ANTI,609,318,For,ITT,1,1
13,1658936184173,27/07/2022 15:36:24,6847685,3,11,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,2,For,It is important to receive the vaccine to protect your health and the health of others.,Pro,7,ANTI,620,318,For,ITT,1,1
15,1658936197151,27/07/2022 15:36:37,6847685,3,13,Somewhat Agree,statements,6,Most weeks,Most days,32,Female,A levels,3,For,To be able to go on holiday,Pro,5,ANTI,633,318,For,ITT,1,0
19,1658936212890,27/07/2022 15:36:52,6847685,3,17,Somewhat Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,1,For,It's safe the government said so.,Pro,5,ANTI,637,318,For,ITT,1,0
20,1658936215323,27/07/2022 15:36:55,6847685,3,18,Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,3,For,It will stop me from getting covid.,Pro,6,ANTI,639,318,For,ITT,1,1
21,1658936218469,27/07/2022 15:36:58,6847685,3,19,Somewhat Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,2,For,The news said its effective,Pro,5,ANTI,656,318,For,ITT,1,0
22,1658936221502,27/07/2022 15:37:01,6847685,3,20,Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,1,For,The more people who get vaccinated the sooner the restrictions will be lifted.,Pro,6,ANTI,625,318,For,ITT,1,1
23,1658936223805,27/07/2022 15:37:03,6847685,3,21,Strongly Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,1,For,Its the only way to stop the spread of the virus,Pro,7,ANTI,613,318,For,ITT,1,1
24,1658936226162,27/07/2022 15:37:06,6847685,3,22,Strongly Agree,statements,6,Most weeks,Most days,32,Female,A levels,2,For,Everyone has to have one so life can go back to normal,Pro,7,ANTI,632,318,For,ITT,1,1
29,1658936245539,27/07/2022 15:37:25,6847685,3,27,Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,2,For,Only a few people have died from it.,Pro,6,ANTI,638,318,For,ITT,1,1
31,1658936249752,27/07/2022 15:37:29,6847685,3,29,Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",1,For,better for everyone else,Pro,6,ANTI,649,318,For,ITT,1,1
32,1658936251027,27/07/2022 15:37:31,6847685,3,30,Strongly Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,3,For,It protects everyone,Pro,7,ANTI,615,318,For,ITT,1,1
33,1658936252165,27/07/2022 15:37:32,6847685,3,31,Strongly Agree,statements,1,Most days,Most months,32,Female,A levels,3,For,it will help you protect yourself.,Pro,7,ANTI,603,318,For,ITT,1,1
35,1658936257267,27/07/2022 15:37:37,6847685,3,33,Strongly Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,1,For,To protect me from becoming seriously ill if I caught Covid,Pro,7,ANTI,643,318,For,ITT,1,1
37,1658936260848,27/07/2022 15:37:40,6847685,3,35,Disagree,statements,4,Most days,Most weeks,31,Female,GCSEs,3,For,We must have the vaccine in order to return to normality.,Pro,2,ANTI,621,318,For,ITT,1,0
38,1658936264888,27/07/2022 15:37:44,6847685,3,36,Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,3,For,Because in the end everyone will be forced to have the vaccine if they want to go on holiday or go to certain events,Pro,6,ANTI,645,318,For,ITT,1,1
39,1658936267151,27/07/2022 15:37:47,6847685,3,37,Agree,statements,6,Most weeks,Most days,32,Female,A levels,1,For,I want to get my freedoms back,Pro,6,ANTI,631,318,For,ITT,1,1
40,1658936268277,27/07/2022 15:37:48,6847685,3,38,Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",2,For,better for travelling abroad,Pro,6,ANTI,650,318,For,ITT,1,1
42,1658936274979,27/07/2022 15:37:54,6847685,3,40,Strongly Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,3,For,Im doing my bit to help,Pro,7,ANTI,657,318,For,ITT,1,1
43,1658936278283,27/07/2022 15:37:58,6847685,3,41,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,1,For,The vaccine is perfectly safe and better versions have already been produced.,Pro,7,ANTI,619,318,For,ITT,1,1
48,1658936295013,27/07/2022 15:38:15,6847685,3,46,Strongly Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",3,For,the long term benefits outweigh the temporary side-effects,Pro,7,ANTI,651,318,For,ITT,1,1
51,1658936309463,27/07/2022 15:38:29,6847685,3,49,Neither Agree nor Disagree,statements,1,Most days,Most months,32,Female,A levels,1,For,i was fine are a few days.,Pro,4,ANTI,601,318,For,ITT,1,0
52,1658936311483,27/07/2022 15:38:31,6847685,3,50,Somewhat Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,1,For,The government said it safe,Pro,5,ANTI,655,318,For,ITT,1,0
56,1658936326030,27/07/2022 15:38:46,6847685,3,54,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",1,For,Protects you against the virus so that you have immunity against it,Pro,7,ANTI,607,318,For,ITT,1,1
57,1658936327767,27/07/2022 15:38:47,6847685,3,55,Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,2,For,Everyone else is getting vaccinated.,Pro,6,ANTI,626,318,For,ITT,1,1
61,1658936343470,27/07/2022 15:39:03,6847685,3,59,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",2,For,Prevents you from catching the virus or getting severe symptoms.,Pro,7,ANTI,608,318,For,ITT,1,1
62,1658936345788,27/07/2022 15:39:05,6847685,3,60,Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,3,For,I want to be able to fly for holidays this summer.,Pro,6,ANTI,627,318,For,ITT,1,1
63,1658936347758,27/07/2022 15:39:07,6847685,3,61,Strongly Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,2,For,Because I am old and therefore at a higher risk of dying if I caught Covid,Pro,7,ANTI,644,318,For,ITT,1,1
3,1658936172935,27/07/2022 15:36:12,6847687,3,1,Somewhat Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,1,For,The vaccine is perfectly safe and better versions have already been produced.,Pro,5,ANTI,619,319,For,ITT,1,0
5,1658936179652,27/07/2022 15:36:19,6847687,3,3,Neither Agree nor Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",1,For,better for everyone else,Pro,4,ANTI,649,319,For,ITT,1,0
6,1658936180367,27/07/2022 15:36:20,6847687,3,4,Neither Agree nor Disagree,statements,1,Most days,Most months,32,Female,A levels,1,For,i was fine are a few days.,Pro,4,ANTI,601,319,For,ITT,1,0
