Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ARGUER_ID,discuss_1,read_1,age,gender,edu,argument_ID,Arg_Position,Arguments,rater_position,response_ratings,Arguer_Position,argument_index,Rater_ID,argument_Position,reasoning_stan,intellectual_stan_1,intellectual_stan_2,intellectual_stan_3,morality_stan_1,morality_stan_2,morality_stan_3,condition,ITT_cond,passedITT
25,1647017917885,11/03/2022 16:58:37,6023523,7,23,Neither Agree nor Disagree,statements,43,Most months,Most months,28,Female,A levels,6,Against,"Habit, tradition, it's always been like this",Anti,4,PRO,258,96,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,ITT,1,0
27,1647017924739,11/03/2022 16:58:44,6023523,7,25,Somewhat Agree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",4,Against,I wouldn't get enough protein if I was vegan.,Anti,5,PRO,262,96,Against,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,ITT,1,0
31,1647017952607,11/03/2022 16:59:12,6023523,7,29,Agree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",5,Against,I need meat to survive otherwise I feel hungry,Anti,6,PRO,287,96,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,ITT,1,1
38,1647018144283,11/03/2022 17:02:24,6023523,7,36,Agree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",6,Against,I don't understand how much animals suffer,Anti,6,PRO,282,96,Against,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,ITT,1,1
39,1647018148247,11/03/2022 17:02:28,6023523,7,37,Disagree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",5,Against,Animals's purpose is to be eaten,Anti,2,PRO,275,96,Against,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,ITT,1,0
40,1647018154235,11/03/2022 17:02:34,6023523,7,38,Neither Agree nor Disagree,statements,42,Rarely,Most weeks,36,Female,A levels,6,Against,I think it's too extreme and find vegans too preachy.,Anti,4,PRO,252,96,Against,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,ITT,1,0
42,1647018163333,11/03/2022 17:02:43,6023523,7,40,Somewhat Agree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",5,Against,I tried to eat plant based food once and felt sick,Anti,5,PRO,269,96,Against,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,ITT,1,0
45,1647018178332,11/03/2022 17:02:58,6023523,7,43,Neither Agree nor Disagree,statements,42,Rarely,Most weeks,36,Female,A levels,4,Against,"I believe humans are born to eat meat and point to physical features, such as meat.",Anti,4,PRO,250,96,Against,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,ITT,1,0
46,1647018181400,11/03/2022 17:03:01,6023523,7,44,Agree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",4,Against,it's too time consuming,Anti,6,PRO,292,96,Against,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,ITT,1,1
47,1647018184318,11/03/2022 17:03:04,6023523,7,45,Strongly Agree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",6,Against,Its too expensive to eat vegan,Anti,7,PRO,276,96,Against,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,ITT,1,1
48,1647018186447,11/03/2022 17:03:06,6023523,7,46,Agree,statements,43,Most months,Most months,28,Female,A levels,5,Against,I like animal products,Anti,6,PRO,257,96,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,ITT,1,1
49,1647018192180,11/03/2022 17:03:12,6023523,7,47,Somewhat Agree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",4,Against,Animals are well looked after,Anti,5,PRO,286,96,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,ITT,1,0
50,1647018196565,11/03/2022 17:03:16,6023523,7,48,Agree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",4,Against,Animal products have better flavor,Anti,6,PRO,274,96,Against,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,ITT,1,1
52,1647018201730,11/03/2022 17:03:21,6023523,7,50,Somewhat Agree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",6,Against,I couldn't give up cheese,Anti,5,PRO,294,96,Against,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,ITT,1,0
54,1647018206058,11/03/2022 17:03:26,6023523,7,52,Agree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",6,Against,People have eaten meat for a long time,Anti,6,PRO,300,96,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,1
56,1647018253089,11/03/2022 17:04:13,6023523,7,54,Neither Agree nor Disagree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",5,Against,Humans are carnivores,Anti,4,PRO,281,96,Against,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,ITT,1,0
57,1647018264638,11/03/2022 17:04:24,6023523,7,55,Somewhat Agree,statements,42,Rarely,Most weeks,36,Female,A levels,5,Against,I couldn't possibly live without dairy/eggs/bacon and/or other meat.,Anti,5,PRO,251,96,Against,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,ITT,1,0
59,1647018274001,11/03/2022 17:04:34,6023523,7,57,Neither Agree nor Disagree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",5,Against,I want to support traditional practices,Anti,4,PRO,299,96,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,0
61,1647018279823,11/03/2022 17:04:39,6023523,7,59,Agree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",6,Against,It's expensive to be vegan,Anti,6,PRO,288,96,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,ITT,1,1
64,1647018292097,11/03/2022 17:04:52,6023523,7,62,Neither Agree nor Disagree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",4,Against,I value taste of animal products over morals,Anti,4,PRO,298,96,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,0
4,1647017703337,11/03/2022 16:55:03,6023534,7,2,Somewhat Disagree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",6,Against,It's expensive to be vegan,Anti,3,PRO,288,101,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,ITT,1,0
6,1647017714424,11/03/2022 16:55:14,6023534,7,4,Somewhat Disagree,statements,42,Rarely,Most weeks,36,Female,A levels,4,Against,"I believe humans are born to eat meat and point to physical features, such as meat.",Anti,3,PRO,250,101,Against,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,ITT,1,0
7,1647017717070,11/03/2022 16:55:17,6023534,7,5,Somewhat Disagree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",4,Against,I think I can't get enough protein on a vegan diet,Anti,3,PRO,268,101,Against,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,ITT,1,0
10,1647017731071,11/03/2022 16:55:31,6023534,7,8,Somewhat Agree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",5,Against,but chicken (I like meat),Anti,5,PRO,293,101,Against,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,ITT,1,0
12,1647017736600,11/03/2022 16:55:36,6023534,7,10,Somewhat Agree,statements,43,Most months,Most months,28,Female,A levels,6,Against,"Habit, tradition, it's always been like this",Anti,5,PRO,258,101,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,ITT,1,0
14,1647017743169,11/03/2022 16:55:43,6023534,7,12,Neither Agree nor Disagree,statements,42,Rarely,Most weeks,36,Female,A levels,6,Against,I think it's too extreme and find vegans too preachy.,Anti,4,PRO,252,101,Against,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,ITT,1,0
18,1647017753698,11/03/2022 16:55:53,6023534,7,16,Somewhat Disagree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",4,Against,Animal products have better flavor,Anti,3,PRO,274,101,Against,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,ITT,1,0
19,1647017756003,11/03/2022 16:55:56,6023534,7,17,Somewhat Disagree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",5,Against,I need meat to survive otherwise I feel hungry,Anti,3,PRO,287,101,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,ITT,1,0
21,1647017762664,11/03/2022 16:56:02,6023534,7,19,Somewhat Agree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",5,Against,I don't have my food cupboards set up to be vegan.,Anti,5,PRO,263,101,Against,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,ITT,1,0
22,1647017765227,11/03/2022 16:56:05,6023534,7,20,Somewhat Agree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",6,Against,People have eaten meat for a long time,Anti,5,PRO,300,101,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,0
27,1647017779517,11/03/2022 16:56:19,6023534,7,25,Neither Agree nor Disagree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",6,Against,Other members of my household wouldn't like it.,Anti,4,PRO,264,101,Against,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,ITT,1,0
28,1647017781857,11/03/2022 16:56:21,6023534,7,26,Somewhat Disagree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",4,Against,I value taste of animal products over morals,Anti,3,PRO,298,101,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,0
29,1647017783410,11/03/2022 16:56:23,6023534,7,27,Neither Agree nor Disagree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",6,Against,Its too expensive to eat vegan,Anti,4,PRO,276,101,Against,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,ITT,1,0
32,1647017791825,11/03/2022 16:56:31,6023534,7,30,Somewhat Agree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",6,Against,it's easier to eat at a restaurant or buy ready-to-eat food when you are not vegan,Anti,5,PRO,270,101,Against,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,ITT,1,0
34,1647017798324,11/03/2022 16:56:38,6023534,7,32,Neither Agree nor Disagree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",4,Against,Meat is important for us and people have been eating it for years.,Anti,4,PRO,244,101,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,ITT,1,0
38,1647017806361,11/03/2022 16:56:46,6023534,7,36,Neither Agree nor Disagree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",6,Against,A vegan diet is tasteless.,Anti,4,PRO,246,101,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,ITT,1,0
43,1647017817885,11/03/2022 16:56:57,6023534,7,41,Somewhat Agree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",4,Against,I love bacon,Anti,5,PRO,280,101,Against,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,ITT,1,0
44,1647017820912,11/03/2022 16:57:00,6023534,7,42,Somewhat Disagree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",4,Against,Animals are well looked after,Anti,3,PRO,286,101,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,ITT,1,0
46,1647017825553,11/03/2022 16:57:05,6023534,7,44,Neither Agree nor Disagree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",5,Against,I don't want to eat only grass.,Anti,4,PRO,245,101,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,ITT,1,0
48,1647017830510,11/03/2022 16:57:10,6023534,7,46,Neither Agree nor Disagree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",5,Against,I tried to eat plant based food once and felt sick,Anti,4,PRO,269,101,Against,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,ITT,1,0
49,1647017832527,11/03/2022 16:57:12,6023534,7,47,Neither Agree nor Disagree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",4,Against,I wouldn't get enough protein if I was vegan.,Anti,4,PRO,262,101,Against,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,ITT,1,0
50,1647017834269,11/03/2022 16:57:14,6023534,7,48,Neither Agree nor Disagree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",5,Against,I want to support traditional practices,Anti,4,PRO,299,101,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,0
51,1647017836113,11/03/2022 16:57:16,6023534,7,49,Somewhat Agree,statements,43,Most months,Most months,28,Female,A levels,5,Against,I like animal products,Anti,5,PRO,257,101,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,ITT,1,0
53,1647017840250,11/03/2022 16:57:20,6023534,7,51,Neither Agree nor Disagree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",6,Against,I couldn't give up cheese,Anti,4,PRO,294,101,Against,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,ITT,1,0
54,1647017841663,11/03/2022 16:57:21,6023534,7,52,Neither Agree nor Disagree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",5,Against,Humans are carnivores,Anti,4,PRO,281,101,Against,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,ITT,1,0
57,1647017846193,11/03/2022 16:57:26,6023534,7,55,Somewhat Agree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",4,Against,it's too time consuming,Anti,5,PRO,292,101,Against,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,ITT,1,0
59,1647017851790,11/03/2022 16:57:31,6023534,7,57,Somewhat Disagree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",5,Against,Animals's purpose is to be eaten,Anti,3,PRO,275,101,Against,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,ITT,1,0
60,1647017855408,11/03/2022 16:57:35,6023534,7,58,Somewhat Disagree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",6,Against,I don't understand how much animals suffer,Anti,3,PRO,282,101,Against,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,ITT,1,0
63,1647017861792,11/03/2022 16:57:41,6023534,7,61,Somewhat Disagree,statements,43,Most months,Most months,28,Female,A levels,4,Against,my body needs meat,Anti,3,PRO,256,101,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,ITT,1,0
64,1647017863529,11/03/2022 16:57:43,6023534,7,62,Somewhat Disagree,statements,42,Rarely,Most weeks,36,Female,A levels,5,Against,I couldn't possibly live without dairy/eggs/bacon and/or other meat.,Anti,3,PRO,251,101,Against,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,ITT,1,0
4,1647017741498,11/03/2022 16:55:41,6023541,7,2,Somewhat Agree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",4,Against,Meat is important for us and people have been eating it for years.,Anti,5,PRO,244,107,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,ITT,1,0
8,1647017757635,11/03/2022 16:55:57,6023541,7,6,Agree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",4,Against,Animal products have better flavor,Anti,6,PRO,274,107,Against,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,ITT,1,1
9,1647017759588,11/03/2022 16:55:59,6023541,7,7,Agree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",4,Against,I love bacon,Anti,6,PRO,280,107,Against,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,ITT,1,1
10,1647017762253,11/03/2022 16:56:02,6023541,7,8,Strongly Agree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",6,Against,I couldn't give up cheese,Anti,7,PRO,294,107,Against,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,ITT,1,1
11,1647017765024,11/03/2022 16:56:05,6023541,7,9,Somewhat Agree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",6,Against,It's expensive to be vegan,Anti,5,PRO,288,107,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,ITT,1,0
12,1647017767293,11/03/2022 16:56:07,6023541,7,10,Agree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",6,Against,Its too expensive to eat vegan,Anti,6,PRO,276,107,Against,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,ITT,1,1
13,1647017774892,11/03/2022 16:56:14,6023541,7,11,Neither Agree nor Disagree,statements,42,Rarely,Most weeks,36,Female,A levels,4,Against,"I believe humans are born to eat meat and point to physical features, such as meat.",Anti,4,PRO,250,107,Against,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,ITT,1,0
14,1647017779714,11/03/2022 16:56:19,6023541,7,12,Somewhat Disagree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",4,Against,Animals are well looked after,Anti,3,PRO,286,107,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,ITT,1,0
17,1647017793837,11/03/2022 16:56:33,6023541,7,15,Agree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",4,Against,I think I can't get enough protein on a vegan diet,Anti,6,PRO,268,107,Against,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,ITT,1,1
18,1647017797184,11/03/2022 16:56:37,6023541,7,16,Agree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",6,Against,Other members of my household wouldn't like it.,Anti,6,PRO,264,107,Against,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,ITT,1,1
19,1647017803747,11/03/2022 16:56:43,6023541,7,17,Somewhat Agree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",6,Against,I don't understand how much animals suffer,Anti,5,PRO,282,107,Against,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,ITT,1,0
20,1647017806315,11/03/2022 16:56:46,6023541,7,18,Agree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",4,Against,I wouldn't get enough protein if I was vegan.,Anti,6,PRO,262,107,Against,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,ITT,1,1
21,1647017809911,11/03/2022 16:56:49,6023541,7,19,Strongly Agree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",5,Against,I need meat to survive otherwise I feel hungry,Anti,7,PRO,287,107,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,ITT,1,1
23,1647017818053,11/03/2022 16:56:58,6023541,7,21,Neither Agree nor Disagree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",5,Against,Animals's purpose is to be eaten,Anti,4,PRO,275,107,Against,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,ITT,1,0
26,1647017831276,11/03/2022 16:57:11,6023541,7,24,Neither Agree nor Disagree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",6,Against,A vegan diet is tasteless.,Anti,4,PRO,246,107,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,ITT,1,0
28,1647017838648,11/03/2022 16:57:18,6023541,7,26,Strongly Agree,statements,42,Rarely,Most weeks,36,Female,A levels,5,Against,I couldn't possibly live without dairy/eggs/bacon and/or other meat.,Anti,7,PRO,251,107,Against,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,ITT,1,1
