Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ARGUER_ID,discuss_1,read_1,age,gender,edu,argument_ID,Arg_Position,Arguments,rater_position,response_ratings,Arguer_Position,argument_index,Rater_ID,argument_Position,reasoning_stan,intellectual_stan_1,intellectual_stan_2,intellectual_stan_3,morality_stan_1,morality_stan_2,morality_stan_3,condition,ITT_cond,passedITT
26,1652108643444,09/05/2022 15:04:03,6435173,5,24,Somewhat Agree,statements,100,Rarely,Most weeks,49,Female,GCSEs,5,Remain,dont think uk is strong enough to stand alone,Anti,5,PRO,599,191,Against,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,ITT,1,0
27,1652108650125,09/05/2022 15:04:10,6435173,5,25,Agree,statements,96,Rarely,Rarely,47,Male,GCSEs,4,Remain,Safety in numbers as a European nation we can combine all our assets together,Anti,6,PRO,574,191,Against,Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,ITT,1,1
28,1652108651843,09/05/2022 15:04:11,6435173,5,26,Agree,statements,94,Rarely,Most months,34,Female,"Undergraduate degree (BSc, BA)",6,Remain,Access to trade deals across Europe,Anti,6,PRO,564,191,Against,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,ITT,1,1
30,1652108661468,09/05/2022 15:04:21,6435173,5,28,Somewhat Agree,statements,97,Never,Never,24,Female,A levels,5,Remain,To keep it the same as we are all used it it and it works,Anti,5,PRO,581,191,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
32,1652108669469,09/05/2022 15:04:29,6435173,5,30,Agree,statements,99,Most weeks,Most weeks,69,Female,No formal qualifications,4,Remain,We would be better off as a combined union,Anti,6,PRO,592,191,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,1
33,1652108671100,09/05/2022 15:04:31,6435173,5,31,Agree,statements,92,Never,Never,67,Male,A levels,4,Remain,Better trade with the rest of Europe,Anti,6,PRO,550,191,Against,Strongly agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,1
35,1652108676762,09/05/2022 15:04:36,6435173,5,33,Somewhat Agree,statements,95,Never,Rarely,48,Male,A levels,4,Remain,"Social, political & economic Unity with Europe",Anti,5,PRO,568,191,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,ITT,1,0
39,1652108698219,09/05/2022 15:04:58,6435173,5,37,Agree,statements,94,Rarely,Most months,34,Female,"Undergraduate degree (BSc, BA)",5,Remain,Freedom of movement across all of Europe making travel and immigration easier for European members,Anti,6,PRO,563,191,Against,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,ITT,1,1
40,1652108701697,09/05/2022 15:05:01,6435173,5,38,Somewhat Agree,statements,100,Rarely,Most weeks,49,Female,GCSEs,4,Remain,scared of change dont like the unknown,Anti,5,PRO,598,191,Against,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,ITT,1,0
41,1652108707666,09/05/2022 15:05:07,6435173,5,39,Somewhat Disagree,statements,95,Never,Rarely,48,Male,A levels,5,Remain,Easy access and free trading to largest market in the world,Anti,3,PRO,569,191,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,ITT,1,0
43,1652108712658,09/05/2022 15:05:12,6435173,5,41,Agree,statements,91,Rarely,Rarely,37,Female,"GCSEs,A levels",4,Remain,Security of knowing we are in the common market,Anti,6,PRO,544,191,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,ITT,1,1
45,1652108721013,09/05/2022 15:05:21,6435173,5,43,Strongly Agree,statements,94,Rarely,Most months,34,Female,"Undergraduate degree (BSc, BA)",4,Remain,"Stability and support from Europe, being able to rely on other countries if we need help",Anti,7,PRO,562,191,Against,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,ITT,1,1
47,1652108730189,09/05/2022 15:05:30,6435173,5,45,Agree,statements,92,Never,Never,67,Male,A levels,6,Remain,Easier travel within Europe,Anti,6,PRO,552,191,Against,Strongly agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,1
50,1652108739294,09/05/2022 15:05:39,6435173,5,48,Agree,statements,95,Never,Rarely,48,Male,A levels,6,Remain,Freedom of movement,Anti,6,PRO,570,191,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,ITT,1,1
54,1652108751864,09/05/2022 15:05:51,6435173,5,52,Disagree,statements,98,Rarely,Rarely,31,Female,GCSEs,5,Remain,I agreed with the politicians outcomes,Anti,2,PRO,587,191,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
55,1652108754519,09/05/2022 15:05:54,6435173,5,53,Neither Agree nor Disagree,statements,93,Rarely,Rarely,39,Female,Vocational Training / Apprenticeship,6,Remain,To protect the economy,Anti,4,PRO,558,191,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
59,1652108770577,09/05/2022 15:06:10,6435173,5,57,Neither Agree nor Disagree,statements,99,Most weeks,Most weeks,69,Female,No formal qualifications,5,Remain,We would receive grants from the EU for farming etc,Anti,4,PRO,593,191,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,0
61,1652108775708,09/05/2022 15:06:15,6435173,5,59,Somewhat Agree,statements,98,Rarely,Rarely,31,Female,GCSEs,4,Remain,I believe its the best  option,Anti,5,PRO,586,191,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
62,1652108779036,09/05/2022 15:06:19,6435173,5,60,Somewhat Agree,statements,93,Rarely,Rarely,39,Female,Vocational Training / Apprenticeship,4,Remain,Due to eu funding for certain sectors,Anti,5,PRO,556,191,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
64,1652108783652,09/05/2022 15:06:23,6435173,5,62,Agree,statements,99,Most weeks,Most weeks,69,Female,No formal qualifications,6,Remain,There would be freedom of movement between countries,Anti,6,PRO,594,191,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,1
7,1652108646553,09/05/2022 15:04:06,6435205,5,5,Somewhat Agree,statements,96,Rarely,Rarely,47,Male,GCSEs,5,Remain,Better for smaller businesses less tax to pay,Anti,5,PRO,575,192,Against,Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,ITT,1,0
9,1652108657998,09/05/2022 15:04:17,6435205,5,7,Strongly Agree,statements,96,Rarely,Rarely,47,Male,GCSEs,4,Remain,Safety in numbers as a European nation we can combine all our assets together,Anti,7,PRO,574,192,Against,Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,ITT,1,1
11,1652108669616,09/05/2022 15:04:29,6435205,5,9,Strongly Agree,statements,97,Never,Never,24,Female,A levels,4,Remain,To make sure that we still have a good friendship with the EU and trades can still take place in a good deal,Anti,7,PRO,580,192,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,1
12,1652108676099,09/05/2022 15:04:36,6435205,5,10,Strongly Disagree,statements,100,Rarely,Most weeks,49,Female,GCSEs,6,Remain,weak minded and think uk needs other country's to survive,Anti,1,PRO,600,192,Against,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,ITT,1,0
14,1652108681368,09/05/2022 15:04:41,6435205,5,12,Strongly Agree,statements,99,Most weeks,Most weeks,69,Female,No formal qualifications,4,Remain,We would be better off as a combined union,Anti,7,PRO,592,192,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,1
16,1652108689357,09/05/2022 15:04:49,6435205,5,14,Neither Agree nor Disagree,statements,91,Rarely,Rarely,37,Female,"GCSEs,A levels",6,Remain,Stability of the Â£ against the euro,Anti,4,PRO,546,192,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,ITT,1,0
17,1652108691437,09/05/2022 15:04:51,6435205,5,15,Strongly Agree,statements,100,Rarely,Most weeks,49,Female,GCSEs,4,Remain,scared of change dont like the unknown,Anti,7,PRO,598,192,Against,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,ITT,1,1
18,1652108693585,09/05/2022 15:04:53,6435205,5,16,Strongly Agree,statements,92,Never,Never,67,Male,A levels,4,Remain,Better trade with the rest of Europe,Anti,7,PRO,550,192,Against,Strongly agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,1
19,1652108696620,09/05/2022 15:04:56,6435205,5,17,Agree,statements,100,Rarely,Most weeks,49,Female,GCSEs,5,Remain,dont think uk is strong enough to stand alone,Anti,6,PRO,599,192,Against,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,ITT,1,1
21,1652108702995,09/05/2022 15:05:02,6435205,5,19,Strongly Agree,statements,95,Never,Rarely,48,Male,A levels,4,Remain,"Social, political & economic Unity with Europe",Anti,7,PRO,568,192,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,ITT,1,1
23,1652108709904,09/05/2022 15:05:09,6435205,5,21,Disagree,statements,98,Rarely,Rarely,31,Female,GCSEs,5,Remain,I agreed with the politicians outcomes,Anti,2,PRO,587,192,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
26,1652108717810,09/05/2022 15:05:17,6435205,5,24,Neither Agree nor Disagree,statements,93,Rarely,Rarely,39,Female,Vocational Training / Apprenticeship,4,Remain,Due to eu funding for certain sectors,Anti,4,PRO,556,192,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
28,1652108722232,09/05/2022 15:05:22,6435205,5,26,Strongly Agree,statements,92,Never,Never,67,Male,A levels,6,Remain,Easier travel within Europe,Anti,7,PRO,552,192,Against,Strongly agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,1
33,1652108740003,09/05/2022 15:05:40,6435205,5,31,Strongly Agree,statements,93,Rarely,Rarely,39,Female,Vocational Training / Apprenticeship,6,Remain,To protect the economy,Anti,7,PRO,558,192,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,1
34,1652108742857,09/05/2022 15:05:42,6435205,5,32,Neither Agree nor Disagree,statements,96,Rarely,Rarely,47,Male,GCSEs,6,Remain,The EU is one of the most successful peace projects,Anti,4,PRO,576,192,Against,Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,ITT,1,0
36,1652108748016,09/05/2022 15:05:48,6435205,5,34,Neither Agree nor Disagree,statements,94,Rarely,Most months,34,Female,"Undergraduate degree (BSc, BA)",5,Remain,Freedom of movement across all of Europe making travel and immigration easier for European members,Anti,4,PRO,563,192,Against,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,ITT,1,0
37,1652108752293,09/05/2022 15:05:52,6435205,5,35,Agree,statements,99,Most weeks,Most weeks,69,Female,No formal qualifications,5,Remain,We would receive grants from the EU for farming etc,Anti,6,PRO,593,192,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,1
38,1652108755469,09/05/2022 15:05:55,6435205,5,36,Somewhat Disagree,statements,98,Rarely,Rarely,31,Female,GCSEs,6,Remain,It was the direction I wanted the country to go in,Anti,3,PRO,588,192,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
39,1652108759097,09/05/2022 15:05:59,6435205,5,37,Somewhat Agree,statements,93,Rarely,Rarely,39,Female,Vocational Training / Apprenticeship,5,Remain,To ensure laws and standards were protected,Anti,5,PRO,557,192,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
41,1652108764804,09/05/2022 15:06:04,6435205,5,39,Strongly Agree,statements,91,Rarely,Rarely,37,Female,"GCSEs,A levels",5,Remain,Easy to travel to other EU countries,Anti,7,PRO,545,192,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,ITT,1,1
44,1652108776653,09/05/2022 15:06:16,6435205,5,42,Neither Agree nor Disagree,statements,91,Rarely,Rarely,37,Female,"GCSEs,A levels",4,Remain,Security of knowing we are in the common market,Anti,4,PRO,544,192,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,ITT,1,0
45,1652108778896,09/05/2022 15:06:18,6435205,5,43,Neither Agree nor Disagree,statements,98,Rarely,Rarely,31,Female,GCSEs,4,Remain,I believe its the best  option,Anti,4,PRO,586,192,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
46,1652108780739,09/05/2022 15:06:20,6435205,5,44,Strongly Agree,statements,94,Rarely,Most months,34,Female,"Undergraduate degree (BSc, BA)",6,Remain,Access to trade deals across Europe,Anti,7,PRO,564,192,Against,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,ITT,1,1
48,1652108788704,09/05/2022 15:06:28,6435205,5,46,Agree,statements,99,Most weeks,Most weeks,69,Female,No formal qualifications,6,Remain,There would be freedom of movement between countries,Anti,6,PRO,594,192,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,1
51,1652108799736,09/05/2022 15:06:39,6435205,5,49,Strongly Agree,statements,97,Never,Never,24,Female,A levels,5,Remain,To keep it the same as we are all used it it and it works,Anti,7,PRO,581,192,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,1
52,1652108802080,09/05/2022 15:06:42,6435205,5,50,Strongly Agree,statements,94,Rarely,Most months,34,Female,"Undergraduate degree (BSc, BA)",4,Remain,"Stability and support from Europe, being able to rely on other countries if we need help",Anti,7,PRO,562,192,Against,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,ITT,1,1
54,1652108810452,09/05/2022 15:06:50,6435205,5,52,Neither Agree nor Disagree,statements,92,Never,Never,67,Male,A levels,5,Remain,Better alignment with the rest of Europe's statutory regulations,Anti,4,PRO,551,192,Against,Strongly agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,0
55,1652108813110,09/05/2022 15:06:53,6435205,5,53,Somewhat Agree,statements,97,Never,Never,24,Female,A levels,6,Remain,To let everyone have the same chance of studying across the EU,Anti,5,PRO,582,192,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
59,1652108824141,09/05/2022 15:07:04,6435205,5,57,Strongly Agree,statements,95,Never,Rarely,48,Male,A levels,5,Remain,Easy access and free trading to largest market in the world,Anti,7,PRO,569,192,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,ITT,1,1
60,1652108825001,09/05/2022 15:07:05,6435205,5,58,Strongly Agree,statements,95,Never,Rarely,48,Male,A levels,6,Remain,Freedom of movement,Anti,7,PRO,570,192,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,ITT,1,1
4,1652108721060,09/05/2022 15:05:21,6435212,5,2,Strongly Agree,statements,96,Rarely,Rarely,47,Male,GCSEs,4,Remain,Safety in numbers as a European nation we can combine all our assets together,Anti,7,PRO,574,193,Against,Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,ITT,1,1
5,1652108727435,09/05/2022 15:05:27,6435212,5,3,Somewhat Agree,statements,97,Never,Never,24,Female,A levels,5,Remain,To keep it the same as we are all used it it and it works,Anti,5,PRO,581,193,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
7,1652108736623,09/05/2022 15:05:36,6435212,5,5,Agree,statements,91,Rarely,Rarely,37,Female,"GCSEs,A levels",4,Remain,Security of knowing we are in the common market,Anti,6,PRO,544,193,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,ITT,1,1
11,1652108763663,09/05/2022 15:06:03,6435212,5,9,Strongly Disagree,statements,96,Rarely,Rarely,47,Male,GCSEs,5,Remain,Better for smaller businesses less tax to pay,Anti,1,PRO,575,193,Against,Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,ITT,1,0
12,1652108767960,09/05/2022 15:06:07,6435212,5,10,Strongly Agree,statements,95,Never,Rarely,48,Male,A levels,4,Remain,"Social, political & economic Unity with Europe",Anti,7,PRO,568,193,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,ITT,1,1
14,1652108792657,09/05/2022 15:06:32,6435212,5,12,Disagree,statements,100,Rarely,Most weeks,49,Female,GCSEs,6,Remain,weak minded and think uk needs other country's to survive,Anti,2,PRO,600,193,Against,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,ITT,1,0
15,1652108797954,09/05/2022 15:06:37,6435212,5,13,Neither Agree nor Disagree,statements,92,Never,Never,67,Male,A levels,4,Remain,Better trade with the rest of Europe,Anti,4,PRO,550,193,Against,Strongly agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,0
16,1652108804313,09/05/2022 15:06:44,6435212,5,14,Somewhat Agree,statements,100,Rarely,Most weeks,49,Female,GCSEs,4,Remain,scared of change dont like the unknown,Anti,5,PRO,598,193,Against,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,ITT,1,0
17,1652108810313,09/05/2022 15:06:50,6435212,5,15,Agree,statements,93,Rarely,Rarely,39,Female,Vocational Training / Apprenticeship,5,Remain,To ensure laws and standards were protected,Anti,6,PRO,557,193,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,1
18,1652108812141,09/05/2022 15:06:52,6435212,5,16,Strongly Agree,statements,91,Rarely,Rarely,37,Female,"GCSEs,A levels",5,Remain,Easy to travel to other EU countries,Anti,7,PRO,545,193,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,ITT,1,1
20,1652108820297,09/05/2022 15:07:00,6435212,5,18,Neither Agree nor Disagree,statements,99,Most weeks,Most weeks,69,Female,No formal qualifications,4,Remain,We would be better off as a combined union,Anti,4,PRO,592,193,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,0
21,1652108831219,09/05/2022 15:07:11,6435212,5,19,Agree,statements,97,Never,Never,24,Female,A levels,4,Remain,To make sure that we still have a good friendship with the EU and trades can still take place in a good deal,Anti,6,PRO,580,193,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,1
22,1652108833408,09/05/2022 15:07:13,6435212,5,20,Agree,statements,94,Rarely,Most months,34,Female,"Undergraduate degree (BSc, BA)",6,Remain,Access to trade deals across Europe,Anti,6,PRO,564,193,Against,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,ITT,1,1
23,1652108835861,09/05/2022 15:07:15,6435212,5,21,Agree,statements,95,Never,Rarely,48,Male,A levels,5,Remain,Easy access and free trading to largest market in the world,Anti,6,PRO,569,193,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,ITT,1,1
26,1652108858477,09/05/2022 15:07:38,6435212,5,24,Agree,statements,98,Rarely,Rarely,31,Female,GCSEs,6,Remain,It was the direction I wanted the country to go in,Anti,6,PRO,588,193,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,1
27,1652108862355,09/05/2022 15:07:42,6435212,5,25,Somewhat Agree,statements,99,Most weeks,Most weeks,69,Female,No formal qualifications,5,Remain,We would receive grants from the EU for farming etc,Anti,5,PRO,593,193,Against,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,0
28,1652108868537,09/05/2022 15:07:48,6435212,5,26,Somewhat Disagree,statements,98,Rarely,Rarely,31,Female,GCSEs,5,Remain,I agreed with the politicians outcomes,Anti,3,PRO,587,193,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
30,1652108878525,09/05/2022 15:07:58,6435212,5,28,Disagree,statements,92,Never,Never,67,Male,A levels,6,Remain,Easier travel within Europe,Anti,2,PRO,552,193,Against,Strongly agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,0
34,1652108896392,09/05/2022 15:08:16,6435212,5,32,Strongly Agree,statements,100,Rarely,Most weeks,49,Female,GCSEs,5,Remain,dont think uk is strong enough to stand alone,Anti,7,PRO,599,193,Against,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,ITT,1,1
38,1652108917984,09/05/2022 15:08:37,6435212,5,36,Somewhat Disagree,statements,91,Rarely,Rarely,37,Female,"GCSEs,A levels",6,Remain,Stability of the Â£ against the euro,Anti,3,PRO,546,193,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,ITT,1,0
43,1652108942506,09/05/2022 15:09:02,6435212,5,41,Agree,statements,95,Never,Rarely,48,Male,A levels,6,Remain,Freedom of movement,Anti,6,PRO,570,193,Against,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,ITT,1,1
46,1652108963003,09/05/2022 15:09:23,6435212,5,44,Neither Agree nor Disagree,statements,94,Rarely,Most months,34,Female,"Undergraduate degree (BSc, BA)",5,Remain,Freedom of movement across all of Europe making travel and immigration easier for European members,Anti,4,PRO,563,193,Against,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,ITT,1,0
